index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
6686,225427518,11.592993360820781,6.991883155358837,7.273235,2.65482271958e+42,6.443744465000001e+42,26.68485,0.066287492
6694,225427662,12.224518290982227,6.90166530819292,7.273828,7.102758393670002e+42,2.4492270323000006e+43,29.190368,0.33647438
15217,225083397,1.0375052424080848,10.420161347663818,7.277913,2.403612689677e+42,6.444001849e+42,27.183413,0.061024939
15460,225284159,2.7516443385605753,7.803843779852124,7.282147,2.7763375989659997e+42,2.3528284736999998e+42,27.941957,0.018203553
16904,228669400,8.976675793009088,-2.5712086442287343,7.269638,4.7141872458730815e+42,1.1442202053090005e+43,26.522498,0.10174997
16912,228669252,9.969072111834214,-2.841862185726496,7.278351,3.2307382388970005e+42,4.602191223500001e+42,27.110424,0.038664314
18665,225083338,0.9472873952421645,10.600597041995659,7.281041,5.207245867979999e+42,4.233533225999999e+43,26.170726,0.44580875
18672,225084448,-0.04510892358296022,10.420161347663818,7.285094,2.3353466791122e+42,3.3267046711e+42,27.522296,0.039443858
19384,228270858,2.841862185726496,3.4733871158879386,7.267832,2.4082393453560004e+42,3.4305403780000006e+42,27.532197,0.021027246
20492,228663342,8.074497321349883,-4.556001281878986,7.267853,3.918846387012e+43,9.286365846e+43,25.087689,0.80777252
21008,231997745,8.976675793009088,-6.901665308192919,7.264685,4.8775301942040006e+42,2.6223280614000003e+43,25.570675,0.39101519
21235,232168328,11.14190412499118,-8.97667579300909,7.275682,2.1832505787820002e+42,1.2918642478e+43,26.575781,0.067178985
21261,232004371,10.510379194829735,-8.706022251511328,7.283844,2.2141737330719997e+42,7.714891056e+42,27.791953,0.03880513
22961,228104698,-1.9396837140672916,9.51798287600461,7.278875,2.3096675249060005e+42,8.047622038000003e+42,26.925166,0.051194348
23611,228270956,2.300555102730971,4.014694198883461,7.270769,1.2718549084004002e+43,3.087026476700001e+43,25.650482,0.19707282
23817,228270379,2.661426491394655,3.292951421556098,7.270652,7.022379381991998e+42,1.6640709435999998e+43,26.017577,0.07646813
23847,228270680,2.4809907970628142,3.563604963053859,7.274366,4.9761885541739995e+42,7.129209963e+42,26.829082,0.080936929
23867,228271654,2.661426491394655,2.661426491394655,7.269171,3.2834299437e+42,7.635883590000001e+42,26.785502,0.035538666
24310,231601780,2.3907729498968937,1.3983766310717667,7.263421,6.246300226839894e+42,8.897863570997001e+42,26.991294,0.04906916
24368,231604961,2.300555102730971,1.3983766310717667,7.276129,9.026595517695e+42,1.2281082337e+43,26.411395,0.11269033
26394,232167668,9.788636417502373,-11.051686277825263,7.284882,4.840288173462001e+42,1.4802104506000002e+43,26.718822,0.13071564
26431,232164788,11.683211207986703,-12.224518290982227,7.278657,1.1462064968025e+43,1.5594646215e+43,26.774867,0.077331281
26439,232164868,11.41255766648894,-12.044082596650385,7.275534,3.80686197724e+42,3.226154218e+42,27.561514,0.019279136
29345,231605079,2.4809907970628142,0.7668517009103236,7.277496,2.9823561345839995e+42,7.238728482e+42,27.024513,0.063210876
32172,227691713,-6.99188315535884,11.322339819323021,7.269729,4.394940691854e+42,1.3440185602e+43,26.610018,0.12527369
34818,231833563,2.9320800328924164,-5.45817975353819,7.269693,2.1363468934023994e+42,4.956721330399999e+42,27.315435,0.022949737
35479,232009064,5.8190511422018725,-11.683211207986703,7.279295,5.031340141340002e+42,1.1922606970000005e+43,26.55355,0.08115638
36381,228125466,-5.45817975353819,4.646219129044904,7.284458,6.02373339932e+42,1.4008682324000001e+43,26.414339,0.13719457
36670,231437733,-3.5636049630538604,2.2103372555650505,7.284024,3.1065596920507994e+42,4.4506585845999994e+42,27.309895,0.026209588
36920,231436258,-3.292951421556098,0.9472873952421645,7.269899,7.118609161158e+42,4.0218130854000003e+43,26.220328,0.15875579
36966,231436377,-3.0222978800583364,0.5864160065784828,7.270716,5.989311206160001e+42,1.3928630712000002e+43,26.635189,0.10072179
38477,232010454,3.7440406573857,-10.420161347663818,7.287209,2.422338919403e+42,1.4333366386999998e+43,26.281029,0.060010639
39380,231263785,-6.089704683699635,3.2027335743901775,7.273198,2.9310628882322003e+42,4.1992304989000007e+42,27.29978,0.017469349
39439,231264606,-6.99188315535884,3.112515727224257,7.276149,2.896918302564999e+42,1.0093791994999999e+43,26.586188,0.060264838
40327,231634367,-2.9320800328924164,-1.849465866901371,7.264813,3.316576153111e+42,7.695072281e+42,27.05486,0.066882012
40633,231631108,-1.9396837140672916,-2.661426491394655,7.270372,2.6758173627493998e+42,3.8335492303e+42,27.267172,0.036123236
41649,234872188,0.5864160065784828,-10.149507806166058,7.278322,1.1096558295939999e+43,6.566010825999999e+43,25.881821,0.65002376
42344,231024632,-8.79624009867725,5.45817975353819,7.276176,2.2004950159578e+42,3.1525716561e+42,27.360853,0.034200619
42374,231024930,-8.97667579300909,4.7364369762108245,7.266808,3.7069854934299996e+42,9.938298909999998e+42,26.545414,0.064401523
42377,231024956,-8.886457945843171,4.646219129044904,7.269674,5.936357659523999e+42,1.5915167987999997e+43,25.891615,0.080701654
42381,231025049,-9.247329334506851,4.826654823376745,7.265974,1.9209308123253003e+43,5.8744061539e+43,26.682236,0.66638498
42383,231025069,-9.247329334506851,4.9168726705426655,7.268299,3.688622693191799e+42,5.2544482808999986e+42,27.136243,0.045093767
42391,231025254,-8.97667579300909,5.097308364874507,7.269523,3.301037677567e+42,1.1501873441e+43,26.905224,0.17929356
43284,231452246,-5.277744059206349,-2.7516443385605753,7.280618,2.4689915404773997e+42,5.728518655399999e+42,27.176559,0.065722476
43667,231646038,-3.2027335743901775,-5.45817975353819,7.270578,2.5288843580199988e+42,1.1762252827999995e+43,26.751922,0.073025882
44978,231280597,-9.247329334506851,0.40598031224664194,7.26414,2.829232396583999e+42,6.704342171999998e+42,26.64267,0.060189603
45093,231452773,-7.623408085520283,0.3157624650807215,7.28157,3.8187601987e+42,5.471003150000001e+42,27.105702,0.030951296
48484,231279062,-10.059289959000136,-1.849465866901371,7.286024,2.4440012281439997e+42,7.474009871999998e+42,26.824849,0.0413552
