index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
1514,115166721,8.483080558243191,10.488932118813013,8.213067,2.8659027067034e+42,4.1058778033e+42,27.485183,0.01301207
2441,115168629,9.151697745099801,8.98454344838565,8.233421,2.4121659912960003e+42,2.0442084672000004e+42,28.305025,0.0099644677
3528,115266047,9.318852041813953,5.474303217388465,8.232182,8.627679305003e+42,2.0017817413e+43,26.002723,0.051443756
3530,115266070,9.318852041813953,5.474303217388465,8.231447,2.7959285686919996e+42,3.8039844471999995e+42,27.39101,0.026266952
4861,117305483,10.488932118813013,-1.7969086896771305,8.229901,1.200657464488e+43,2.7922266616e+43,25.726745,0.13134449
6036,117313229,9.820314931956407,-2.883411618319115,8.234735,7.519296481153999e+42,1.7818238107e+43,26.062574,0.069867035
6051,117313360,9.73673778359933,-2.6326801732478877,8.230626,6.355534210920001e+42,1.5426053910000002e+43,26.503913,0.060376609
7961,116885270,-1.2118686511776002,10.739663563884237,8.228665,7.898322696966001e+42,1.1251171933000002e+43,26.746743,0.059903256
8221,116981001,0.961137206106371,6.8115375911016764,8.223283,3.1005499854769995e+42,8.312466448999999e+42,26.519542,0.045010421
8652,117207713,4.220645992032327,0.7104057610351437,8.225886,4.6148710647000007e+42,1.0732258290000001e+43,26.315536,0.061417621
9314,119082708,6.8115375911016764,-5.641457514102617,8.215033,2.1172225827781998e+42,3.0332701759e+42,27.649192,0.015338392
10820,119086043,6.226497552602149,-6.226497552602147,8.234865,5.292640056660001e+42,1.8250482954000003e+43,26.380092,0.063908735
12080,118997611,1.4626000962488255,-2.4655258765337362,8.234588,3.8900958448950003e+42,5.5414470725000006e+42,27.266792,0.042238395
12411,119198754,4.722108882174782,-8.900966300028575,8.21468,3.10660305846e+42,1.661285058e+43,26.046673,0.09195922
13323,118764076,-3.969914546961102,4.137068843675251,8.22512,4.017577609784e+42,3.7901675564e+43,25.73913,0.15142182
13394,118765633,-3.0505659150332667,2.7162573216049637,8.232073,2.6224550756080008e+42,2.2224195556000007e+42,28.027202,0.0092985789
13850,119088806,2.1312172831054315,-6.811537591101679,8.213734,2.99426822007e+42,8.092616811000001e+43,26.045796,0.5217566
15731,119096191,0.626828612678068,-6.811537591101679,8.213256,5.0023219835860004e+42,1.1853843563000002e+43,26.342455,0.059118179
15798,119096446,0.626828612678068,-7.145846184529982,8.213343,9.107049702580001e+42,7.717838731000002e+42,27.63783,0.037145783
16443,118771314,-6.477228997673376,2.549103024890812,8.223108,2.5903657284225002e+42,3.5243071135e+42,27.554635,0.020096576
16854,119002844,-3.886337398604026,-3.134143063390342,8.218647,1.049031979714e+43,8.890101523000001e+42,26.565514,0.056636554
17116,119095032,-1.2118686511776002,-6.393651849316299,8.21497,2.66115575037e+43,1.574648373e+44,26.241124,1.1411427
20176,120911996,-1.629754392962979,-11.073972157312545,8.226145,4.281831632520002e+42,6.099475260000003e+42,27.052106,0.022232022
20549,118661357,-9.987469228670559,1.0447143544634467,8.227425,7.397410032520001e+42,1.7529407660000005e+43,26.321687,0.10918501
20554,118661458,-9.903892080313485,1.0447143544634467,8.224743,3.065781622158001e+42,7.113182418000002e+42,26.944311,0.02058841
23314,122424913,-11.241126454026697,-10.154623525384709,8.222758,4.6963789597740006e+42,3.979982169300001e+42,27.274454,0.033025043
