index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
51433,173798471,10.848273127611266,8.883976758825685,7.391416,5.562369171324e+42,1.9381077252000003e+43,25.963188,0.073949581
51471,173798609,10.848273127611266,8.70540436166336,7.389303,3.462507955832e+42,8.204995156000001e+42,26.565812,0.044713121
51606,173800551,11.830421312004052,6.919680390040107,7.390373,2.6473818726099998e+42,9.128903009e+42,27.039117,0.063563322
51651,173796573,11.830421312004052,6.294676999971969,7.405844,7.663102988462001e+42,1.8159011821000002e+43,26.381078,0.14836516
52999,173969888,11.116131723354751,3.0803738510501124,7.395169,3.222239104127001e+42,7.476192817000003e+42,26.741909,0.051179437
54382,173970179,10.491128333286616,2.3660842624008116,7.403395,2.4305932932340002e+42,5.759699747000001e+42,27.095058,0.023865739
54604,176478898,11.919707510585217,-0.13392929787174393,7.411923,4.328092949936e+42,6.200706232000001e+42,27.01779,0.029447463
58395,176614692,9.59826634747499,-2.544656659563137,7.402392,2.0778439951139996e+42,6.354262981999999e+42,26.976899,0.022975848
58413,176614944,9.687552546056152,-2.276798063819649,7.402326,3.3086613994440004e+42,4.740202578000001e+42,27.135122,0.026261142
58480,176617612,10.223269737543125,-4.8660978226733675,7.390003,2.064024073722e+42,4.8000559854000004e+42,27.265879,0.032380642
58940,176014302,-0.9375050851022098,11.473276517679402,7.398082,2.5213311633499994e+42,5.863560844999998e+42,26.900054,0.058142941
59165,176016783,0.4017878936152318,9.508980148893826,7.403028,3.4177664275e+42,7.9298525e+42,26.932798,0.041934231
59198,176016030,-0.22321549645290656,9.687552546056152,7.397003,3.631089547004401e+42,5.172492232200001e+42,27.810447,0.050123926
59222,176016707,0.4910740921963944,9.419693950312661,7.402712,2.4465691550849998e+42,1.3822424605e+43,27.08367,0.16088524
59248,176017245,0.6696464893587196,9.151835354569176,7.3938,3.9664322639760006e+42,5.396506481600001e+42,26.807948,0.060753704
59491,176017855,0.7589326879398822,8.883976758825685,7.406405,1.994421725894e+43,1.6901879033e+43,26.193175,0.084627559
