index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
449,51823880,7.265235450896971,5.066029044138968,9.038604,3.3797591054060006e+42,2.8642026317000004e+42,27.783375,0.016121398
455,51828263,8.207752482364684,4.516227442449467,9.046725,2.422426889802e+42,2.0529041439000002e+42,28.442504,0.0031703919
837,51766926,6.401261505384897,5.458744473917183,9.042932,2.5467333090599997e+42,2.158248567e+42,28.059472,0.009853126
1317,51928200,8.914640255965471,-2.2384779497358234,9.04572,2.0325229392545995e+42,2.8953318222999995e+42,27.721687,0.013698006
3132,53084649,4.202055098626895,-3.4166242390704675,9.047594,2.1897831050550002e+42,3.1193491525000005e+42,27.996681,0.0049242975
3178,53083623,5.38020138796154,-4.4376843564938255,9.055315,2.614787696941e+42,4.2865372080999997e+43,25.341893,0.15791604
3476,52851288,-1.531590176135038,3.4951673250261095,9.051229,2.145386953829e+42,7.475215867e+42,26.771264,0.034207019
4603,54208753,1.8457625199576073,-6.636890763251828,9.041205,2.0933603419500004e+42,4.868279865000001e+42,27.364276,0.013675532
5339,54354774,3.259538067159181,-9.62152802956626,9.041451,1.1081253623054001e+43,1.5875721523000003e+43,26.291901,0.030599701
7533,54072427,-5.066029044138969,-4.83039978627204,9.051778,4.031460464738e+42,1.4046900574000001e+43,26.189226,0.084199928
