,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.012,1897.0,1917.0,1550.0,1591.0,1063.0,1101.0,775.0,759.0,659.0,631.0,504.0,408.0,277.0,183.0,287.0,129.0,208.0,109.0,120.0,46.0,96.0,28.0,47.0,15.0,35.0,4.0,47.0,9.0,19.0,2.0
1,42.6,0.047,1313.0,1305.0,1095.0,1067.0,689.0,614.0,474.0,318.0,428.0,280.0,306.0,157.0,191.0,61.0,146.0,54.0,132.0,39.0,66.0,18.0,56.0,9.0,27.0,4.0,19.0,1.0,20.0,4.0,5.0,1.0
2,43.0,0.143,509.0,504.0,431.0,409.0,268.0,238.0,149.0,112.0,144.0,111.0,87.0,39.0,44.0,16.0,47.0,19.0,34.0,10.0,18.0,4.0,12.0,2.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
3,43.4,0.443,137.0,134.0,108.0,105.0,86.0,74.0,41.0,23.0,51.0,30.0,14.0,8.0,13.0,5.0,12.0,2.0,10.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
4,43.8,0.476,36.0,35.0,37.0,34.0,9.0,8.0,5.0,4.0,9.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.598,4.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
