,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.526,1897.0,1668.0,1550.0,1281.0,1063.0,645.0,775.0,343.0,659.0,299.0,504.0,174.0,277.0,66.0,287.0,54.0,208.0,40.0,120.0,15.0,96.0,8.0,47.0,7.0,35.0,1.0,47.0,6.0,19.0,0.0
1,42.6,0.645,1313.0,784.0,1095.0,619.0,689.0,294.0,474.0,144.0,428.0,119.0,306.0,62.0,191.0,22.0,146.0,19.0,132.0,15.0,66.0,6.0,56.0,1.0,27.0,1.0,19.0,1.0,20.0,1.0,5.0,1.0
2,43.0,0.739,509.0,279.0,431.0,200.0,268.0,109.0,149.0,47.0,144.0,47.0,87.0,12.0,44.0,8.0,47.0,5.0,34.0,5.0,18.0,2.0,12.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0
3,43.4,0.858,137.0,82.0,108.0,69.0,86.0,28.0,41.0,8.0,51.0,10.0,14.0,2.0,13.0,2.0,12.0,0.0,10.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
4,43.8,0.852,36.0,19.0,37.0,19.0,9.0,5.0,5.0,2.0,9.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.889,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
