,index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar,0 Radius (pMpc),0 Edge,10 Radius (pMpc),10 Edge,20 Radius (pMpc),20 Edge,30 Radius (pMpc),30 Edge,40 Radius (pMpc),40 Edge,50 Radius (pMpc),50 Edge,60 Radius (pMpc),60 Edge,70 Radius (pMpc),70 Edge,80 Radius (pMpc),80 Edge,90 Radius (pMpc),90 Edge,100 Radius (pMpc),100 Edge,110 Radius (pMpc),110 Edge,120 Radius (pMpc),120 Edge,130 Radius (pMpc),130 Edge,140 Radius (pMpc),140 Edge,150 Radius (pMpc),150 Edge,160 Radius (pMpc),160 Edge,170 Radius (pMpc),170 Edge,180 Radius (pMpc),180 Edge,190 Radius (pMpc),190 Edge,200 Radius (pMpc),200 Edge,210 Radius (pMpc),210 Edge,220 Radius (pMpc),220 Edge,230 Radius (pMpc),230 Edge,240 Radius (pMpc),240 Edge,250 Radius (pMpc),250 Edge,260 Radius (pMpc),260 Edge,270 Radius (pMpc),270 Edge,280 Radius (pMpc),280 Edge,290 Radius (pMpc),290 Edge,300 Radius (pMpc),300 Edge,310 Radius (pMpc),310 Edge,320 Radius (pMpc),320 Edge,330 Radius (pMpc),330 Edge,340 Radius (pMpc),340 Edge,350 Radius (pMpc),350 Edge,360 Radius (pMpc),360 Edge,Transmission 0,Transmission 10,Transmission 20,Transmission 30,Transmission 40,Transmission 50,Transmission 60,Transmission 70,Transmission 80,Transmission 90,Transmission 100,Transmission 110,Transmission 120,Transmission 130,Transmission 140,Transmission 150,Transmission 160,Transmission 170,Transmission 180,Transmission 190,Transmission 200,Transmission 210,Transmission 220,Transmission 230,Transmission 240,Transmission 250,Transmission 260,Transmission 270,Transmission 280,Transmission 290,Transmission 300,Transmission 310,Transmission 320,Transmission 330,Transmission 340,Transmission 350,Transmission 360
0,301,539338586,-12.161686301288205,13.877442874913928,6.006168,1.790774631213e+43,5.476375019e+43,25.753389,0.45578679,4.64263543451666,False,4.513586272316751,False,3.6389695896599683,True,2.4410950111602605,False,1.8609992951099819,False,1.5765279085994108,True,1.4021207116838599,True,1.2766349842502709,True,1.2278282114309853,True,1.211122287265212,True,1.2278282114309846,True,1.2766349842502704,False,1.1769992993030791,False,1.072867209223492,False,1.0092685727210107,False,0.9521420672227708,False,0.9574762381877039,False,0.8136983370534177,False,0.8074148581768075,False,0.8136983370534177,False,0.8623194465359596,False,0.813698337053419,False,0.9304996475549908,False,1.072867209223496,False,1.315925221355655,False,1.914952476375412,False,3.2859404057213966,False,4.2389280054282565,False,3.89974898738405,False,5.139347792795146,False,3.843180226361174,False,3.1530558171988243,False,2.9338310770058875,False,3.3927040080546558,False,4.182075776551554,False,4.612920501571805,False,4.64263543451666,False,0.7841253392610084,0.7790211156990324,0.7997891691242678,0.6446249497629143,0.5726958137038375,0.6249904835238956,0.5954660813856836,0.571274196424291,0.5610935920161149,0.5575011577198469,0.5610935920161146,0.46530183311712725,0.4417701886836662,0.4150723736617716,0.3976104113238748,0.38112206541912036,0.3826950075160915,0.3377554364461941,0.33566635061475186,0.3377554364461941,0.35355799263152426,0.33775543644619455,0.37466799216937,0.41507237366177263,0.47408316939825873,0.5805537295487033,0.7150502594506928,0.7673171153245711,0.7510471412564454,0.8017602186652039,0.7481114099974894,0.7058586083945593,0.6893443577061645,0.7220334363471045,0.7647389471932252,0.7829709271961857,0.7841253392610084
1,383,539647552,-11.959832586744,11.657052014927698,6.006394,4.699834189424e+42,2.5132803152e+43,26.565735,0.3330318,1.9176102881699233,False,2.04111936990433,False,4.725274309207904,False,5.107537210702038,False,5.156167341555965,False,4.510199812213392,True,3.843180226361173,False,3.638969589659966,False,3.4845353748293513,True,3.431513147251442,True,3.4845353748293517,False,2.905922418115177,False,1.8527708128215408,False,1.2924944120138353,False,1.215320297382281,False,1.0391055937657399,False,0.9574762381877072,False,1.0292560293520767,False,1.3120491445373172,False,1.427321303618995,False,1.4057484556817708,False,1.315925221355654,False,1.292494412013834,False,1.2924944120138353,False,2.303698352716094,False,2.4577295818828593,False,2.2567931361583713,False,1.8166834308978217,False,1.8417423171464804,False,1.7246388930719234,False,3.029487365456344,False,3.2952271140340876,False,2.3647918628991174,False,2.129054386547295,False,2.0436131025019058,False,1.8417423171464804,False,1.9176102881699233,False,0.5809336038087298,0.5978796980961002,0.7872725390467533,0.8007172422776351,0.8023073025893777,0.8328725557887914,0.7481114099974894,0.7369171812936669,0.7925154378450114,0.7898953544457685,0.7277744557305897,0.6871098474897432,0.5714723358474979,0.4688789823023441,0.4510425997757362,0.4059167701358735,0.3826950075160924,0.4031973612806229,0.4732288237790589,0.4975743432291567,0.4931802695297812,0.47408316939825856,0.4688789823023438,0.4688789823023441,0.6298145514649891,0.6463396152200499,0.6244783742314564,0.5660257724909308,0.5698218854844475,0.5515110106543333,0.6967698447124729,0.7156714321075089,0.6365464457284481,0.6091551307820797,0.5982081575527457,0.5698218854844475,0.5809336038087298
2,779,539336415,-11.051490871295089,13.776516017641828,6.002041,4.651994731664001e+42,4.1535667247000006e+43,25.199436,0.26785172,3.633366861795645,False,3.484535374829352,False,3.31986466913436,False,2.6664562441822515,True,2.0806604649725555,True,1.5765279085994137,False,1.540581614483885,False,1.4057484556817674,False,1.3274855478521748,True,1.3120491445373137,True,1.327485547852175,True,1.4057484556817674,True,1.540581614483886,True,1.7187224471853202,True,2.003340915674688,False,2.078211187531478,False,2.0436131025019066,False,1.9413668617663542,False,1.9176102881699233,False,1.8417423171464824,False,2.043613102501907,False,2.078211187531479,False,2.3647918628991196,False,3.4374448943706435,False,3.530997897909242,False,4.725274309207905,False,4.098425810666737,False,4.138001148156155,False,4.928910608582092,False,2.4927094929979474,False,2.2157985265074824,False,2.3647918628991174,False,2.3647918628991196,False,3.0294873654563435,False,3.130360004713167,False,3.4845353748293526,False,3.633366861795645,False,0.7365961422577437,0.7277744557305897,0.7173064924097551,0.7431555231997223,0.6906341627858751,0.5260978820982073,0.519511060028832,0.4931802695297805,0.5814069208769069,0.5783802915688234,0.5814069208769069,0.5961261256972776,0.6192544169913949,0.6461151522556904,0.5928391954948286,0.6027119924002026,0.5982081575527458,0.584299721049677,0.5809336038087298,0.5698218854844477,0.5982081575527458,0.6027119924002027,0.6365464457284484,0.7248601380010157,0.7305906083661042,0.7872725390467533,0.7608406928188471,0.7627008464716026,0.7946515835253801,0.6498928888378425,0.6196901001255052,0.6365464457284481,0.6365464457284484,0.6967698447124728,0.70422984171659,0.7277744557305897,0.7365961422577437
3,817,539356906,-9.941295441301977,13.877442874913928,6.000359,6.788180035305999e+42,9.725186297e+42,26.437901,0.051504309,2.4222445745304304,False,2.3561612068698925,False,2.3626371546039513,False,2.129054386547295,False,1.8609992951099805,False,1.5765279085994097,True,1.402120711683859,True,1.2766349842502704,True,1.2278282114309849,True,1.1101954299931158,False,1.2278282114309849,False,1.2766349842502709,True,1.402120711683859,False,1.5765279085994097,True,1.93874161802075,True,2.4410950111602605,True,3.0007711973157205,False,3.069570528577469,False,3.0278057181630373,False,2.970063236582819,False,3.130360004713169,False,3.392704008054654,False,4.225690724543967,False,5.0139422534025515,False,5.383291356229174,False,4.087226205003819,False,4.612920501571804,False,1.9176102881699233,False,1.9413668617663544,False,2.0436131025019066,False,1.8527708128215399,False,2.0806604649725577,False,2.22268346860933,False,2.2157985265074838,False,2.4577295818828606,False,2.455656422861976,False,2.4222445745304304,False,0.6426620798380027,0.6356100006026935,0.6363130965731194,0.6091551307820797,0.5726958137038373,0.6249904835238954,0.5954660813856834,0.5712741964242909,0.5610935920161148,0.42490411471488626,0.4540080655683076,0.571274196424291,0.49243424434174754,0.6249904835238954,0.6745597176247515,0.7251850205370862,0.6945777566896759,0.6997782222976884,0.6966423302468887,0.6921987600396599,0.7042298417165901,0.7220334363471044,0.7667218489579668,0.7975841949761091,0.8094110139924925,0.7603090114908304,0.7829709271961856,0.5809336038087298,0.584299721049677,0.5982081575527458,0.5714723358474977,0.6030271113312389,0.6205025867172969,0.6196901001255053,0.64633961522005,0.6461268023973636,0.6426620798380027
4,843,539646404,-10.849637156750887,12.464466873104511,6.008712,6.569132168247998e+42,1.5944495553999997e+43,26.416964,0.21536108,2.6240982890746345,False,3.1691676023144604,False,3.638969589659967,False,3.7560523516812165,False,3.799195789265451,False,3.4374448943706395,False,3.0294873654563403,True,2.681693261036601,False,2.6721803071078445,True,2.624098289074629,True,2.6721803071078445,True,2.8114969113635366,True,3.0294873654563395,True,3.153055817198823,False,2.933831077005886,False,2.30369835271609,False,2.268049032099098,False,2.041119369904329,False,2.018537145442025,False,2.04111936990433,False,2.6816932610366018,False,2.666456244182254,False,2.6492098496474608,False,3.6571191765124027,False,3.617914622636595,False,2.905922418115177,False,2.5552639320754333,False,3.0278057181630373,False,3.583969403362135,False,2.043613102501912,False,1.5405816144838904,False,1.2153202973822825,False,1.072867209223497,False,1.0391055937657399,False,1.4057484556817708,False,1.6429702028606996,False,2.6240982890746345,False,0.6626357837725841,0.7070041566138155,0.7369171812936669,0.7434529751286107,0.7457808731561464,0.7248601380010155,0.7676637628746936,0.6679387436647197,0.7435816734720027,0.7399578383788149,0.7435816734720027,0.7535377888438377,0.7676637628746936,0.7058586083945592,0.6893443577061644,0.6298145514649887,0.6257725585534025,0.5978796980961001,0.5948813894715563,0.5978796980961002,0.6679387436647198,0.6665518318165513,0.6649682162034114,0.7379518571075802,0.735706684624064,0.6871098474897432,0.6560755744385638,0.6966423302468887,0.7337316868637334,0.5982081575527465,0.519511060028833,0.4510425997757366,0.41507237366177285,0.4059167701358735,0.4931802695297812,0.5378302247358799,0.6626357837725841
5,849,539646653,-11.15241772856719,12.161686301288205,6.01121,8.352023482359999e+42,7.077986002e+42,27.628927,0.12399966,1.917610288169925,False,3.069570528577469,False,3.863007599018652,False,4.156422375062955,False,4.225690724543965,False,3.799195789265451,True,3.3927040080546518,True,3.1303600047131668,False,2.970063236582817,False,2.9268788608909357,True,2.9700632365828175,True,3.1303600047131668,True,3.2547933482136844,False,2.9338310770058884,False,2.22268346860933,False,2.0782111875314766,False,1.8194847948299842,False,1.742267687414677,False,1.7157565736257219,False,1.8417423171464804,False,2.2680490320990994,False,2.215798526507485,False,2.22268346860933,False,3.1530558171988243,False,3.25479334821368,False,2.457729581882859,False,2.1575697780378187,False,2.321317717258328,False,2.970063236582817,False,3.3198646691343616,False,1.8527708128215399,False,1.7187224471853206,False,1.2924944120138329,False,1.1769992993030811,False,1.1813185773019759,False,1.227828211430988,False,1.917610288169925,False,0.58093360380873,0.6997782222976884,0.7491481704003273,0.76355693157347,0.7667218489579668,0.806817836487466,0.7879354995644429,0.70422984171659,0.6921987600396597,0.7612204684425365,0.7639749815732572,0.7736699408283279,0.7129471459369203,0.6893443577061645,0.6205025867172969,0.6027119924002023,0.5664533481205148,0.5543627254474232,0.5500608526237915,0.5698218854844475,0.6257725585534026,0.6196901001255055,0.6205025867172969,0.7058586083945593,0.71294714593692,0.6463396152200499,0.6126804701581646,0.6317809181479191,0.6921987600396597,0.7173064924097552,0.5714723358474977,0.550546071080016,0.46887898230234354,0.4417701886836667,0.4428296344980787,0.45400806556830836,0.58093360380873
6,852,539647623,-11.15241772856719,11.354271443111395,6.0017,4.184869811419502e+42,5.693700423700002e+42,26.882379,0.044369996,1.0092685727210124,False,1.0292560293520754,False,1.1813185773019754,False,4.156422375062955,False,4.6524982377749575,False,4.729583725798237,False,4.293841780861259,True,3.9580831898723274,False,3.6834846342929652,False,3.734293719067743,True,3.800536130033647,True,3.9580831898723274,True,3.617914622636593,False,2.6492098496474594,False,2.0806604649725555,False,1.990588775167334,False,1.8194847948299842,False,2.157569778037817,False,2.1194640027141265,False,1.941366861766357,False,1.8194847948299846,False,2.215798526507485,False,2.6492098496474634,False,2.6492098496474608,False,1.7654989489546222,False,1.5957937303128438,False,1.327485547852182,False,1.5139028590815204,False,1.9413668617663544,False,2.4577295818828637,False,2.579071253143561,False,1.5003855986578614,False,1.215320297382281,False,1.264609896946576,False,1.1813185773019759,False,1.1283965680791876,False,1.0092685727210124,False,0.3976104113238753,0.40319736128062256,0.4428296344980786,0.76355693157347,0.7845058100701828,0.7874341558923543,0.8257172556413628,0.7540042223542052,0.7394406169263397,0.8040308217190986,0.8068745615607388,0.8133187193552365,0.7357066846240639,0.6649682162034113,0.6030271113312387,0.5911099814874654,0.5664533481205148,0.6126804701581644,0.6079553957518081,0.5842997210496774,0.566453348120515,0.6196901001255055,0.6649682162034117,0.6649682162034114,0.5580679190687333,0.5295578679058021,0.47661596815650054,0.5145089207815915,0.584299721049677,0.6463396152200503,0.658372666417246,0.5119366242866777,0.4510425997757362,0.46255961196275286,0.4428296344980787,0.42959039484029116,0.3976104113238753
7,956,539647701,-11.15241772856719,11.253344585839294,6.006628,3.7475784771973995e+43,5.3690236063e+43,26.282386,1.070477,1.110195429993114,False,1.0292560293520767,False,1.1813185773019759,False,1.4021207116838632,False,4.652498237774959,False,4.871746823148536,False,4.431597053014965,True,4.087226205003813,True,3.899748987384044,False,3.8352205763398466,True,3.899748987384044,True,4.087226205003813,False,3.617914622636594,False,2.6492098496474608,False,2.22268346860933,False,1.990588775167334,False,1.91495247637541,False,2.1575697780378174,False,2.1194640027141265,False,1.941366861766356,False,1.7246388930719223,False,2.303698352716093,False,2.5069711267012753,False,2.506971126701273,False,1.6273966741068395,False,1.2766349842502753,False,1.2278282114309902,False,1.412976001809417,False,1.841742317146479,False,2.3626371546039535,False,2.5790712531435593,False,1.50038559865786,False,1.2924944120138329,False,1.17699929930308,False,1.1813185773019759,False,1.1283965680791876,False,1.110195429993114,False,0.42490411471488576,0.4031973612806229,0.4428296344980787,0.49243424434174843,0.7845058100701829,0.7926321002043472,0.8303418012186661,0.8182900315687179,0.7510471412564452,0.808331006202268,0.8109832297550381,0.7603090114908301,0.735706684624064,0.6649682162034114,0.6205025867172969,0.5911099814874654,0.5805537295487031,0.6126804701581645,0.6079553957518081,0.5842997210496772,0.5515110106543331,0.629814551464989,0.6513215764182753,0.651321576418275,0.535130315054922,0.4653018331171284,0.45400806556830886,0.49466044484975275,0.5698218854844472,0.6363130965731196,0.6583726664172458,0.5119366242866775,0.46887898230234354,0.44177018868366635,0.4428296344980787,0.42959039484029116,0.42490411471488576
8,1222,534963554,-11.657052014927698,5.601440578601621,6.006925,2.1954034067839997e+42,1.9601816131999997e+43,27.709914,0.41231694,1.9176102881699268,False,1.9413668617663582,False,2.268049032099102,False,2.303698352716094,False,2.364791862899119,False,1.938741618020754,False,1.4021207116838645,False,1.4057484556817714,False,1.427321303618995,False,1.614829716353622,False,1.9413668617663542,False,2.8114969113635424,False,2.8918670882241053,False,2.222683468609332,False,2.2226834686093317,False,2.44109501116026,False,1.9149524763754096,False,2.0411193699043295,False,2.220390859986228,False,2.4556564228619746,False,3.543955731905927,False,3.1173167812972165,False,3.0109375884851133,False,2.7914989426649726,False,2.3539985986061596,False,1.91495247637541,False,1.7422676874146752,False,1.715756573625721,False,1.5438840440281145,False,1.7246388930719212,False,1.6273966741068395,False,1.7187224471853209,False,1.8609992951099836,False,2.129054386547295,False,1.819484794829985,False,1.9413668617663578,False,1.9176102881699268,False,0.5809336038087303,0.5842997210496775,0.625772558553403,0.6298145514649891,0.6365464457284483,0.5839303202159937,0.4924342443417487,0.49318026952978133,0.4975743432291567,0.5329295819004825,0.584299721049677,0.6793090044910046,0.6859724651918915,0.6205025867172971,0.6205025867172971,0.6446249497629142,0.580553729548703,0.5978796980961002,0.6202324142146731,0.6461268023973634,0.7313657376934386,0.703285706599189,0.695357389074773,0.6776074857629464,0.635374612640725,0.5805537295487031,0.5543627254474228,0.5500608526237913,0.520123449083005,0.551511010654333,0.535130315054922,0.550546071080016,0.5726958137038378,0.6091551307820797,0.566453348120515,0.5842997210496775,0.5809336038087303
9,1233,534963720,-11.959832586744,5.7023674358737235,6.008666,9.152787808168e+42,1.3112876516e+43,25.973564,0.13805998,2.220390859986228,False,2.4556564228619746,False,2.5869583396078824,False,2.5292197938931498,False,2.364791862899118,False,1.4344401572747005,False,1.4021207116838605,False,1.4057484556817708,False,1.5438840440281147,False,1.8166834308978208,False,1.9413668617663546,False,2.681693261036601,False,2.5790712531435616,False,1.938741618020754,False,2.003340915674691,False,2.0782111875314784,False,1.5957937303128433,False,1.6429702028606994,False,1.7157565736257236,False,2.0411193699043313,False,2.362637154603954,False,3.029487365456344,False,2.933831077005889,False,2.791498942664976,False,2.5790712531435585,False,2.268049032099102,False,1.9413668617663569,False,1.8166834308978235,False,1.8417423171464822,False,1.7246388930719225,False,1.8527708128215392,False,1.938741618020751,False,2.080660464972556,False,2.215798526507483,False,2.1386017635248433,False,2.2567931361583744,False,2.220390859986228,False,0.6202324142146731,0.6461268023973634,0.6591270356812804,0.6535276799212524,0.6365464457284482,0.4990086465900598,0.4924342443417479,0.4931802695297812,0.520123449083005,0.5660257724909306,0.584299721049677,0.6679387436647197,0.658372666417246,0.5839303202159937,0.5928391954948289,0.6027119924002026,0.529557867905802,0.5378302247358799,0.5500608526237918,0.5978796980961004,0.6363130965731197,0.6967698447124729,0.6893443577061646,0.6776074857629467,0.6583726664172458,0.625772558553403,0.5842997210496773,0.566025772490931,0.5698218854844477,0.5515110106543332,0.5714723358474977,0.5839303202159932,0.6030271113312387,0.6196901001255052,0.6103424051638948,0.6244783742314567,0.6202324142146731
