bin center,errors,LF
42.2,4.167097412578716e-06,3.750387671320844e-05
42.6,3.0006530884365527e-06,1.9446454592034006e-05
43.0,1.7324278683535255e-06,6.482151530678002e-06
43.4,0.0,0.0
43.8,4.6301082361985726e-07,4.6301082361985726e-07
44.199999999999996,0.0,0.0
44.599999999999994,0.0,0.0
