bin center,errors,LF
42.2,5.987263645053837e-06,7.38159437060739e-05
42.6,4.14923486505818e-06,3.5451078227259173e-05
43.0,2.3790973284459013e-06,1.1655149006222194e-05
43.4,1.2848594068277304e-06,3.3994184601481398e-06
43.8,0.0,0.0
44.199999999999996,0.0,0.0
44.599999999999994,0.0,0.0
