,Redshift,8_9_fraction_nion_produced,9_10_fraction_nion_produced,10_11_fraction_nion_produced,11_12_fraction_nion_produced,correction_factor
1,4.12138438,0.0037675629041713592,0.08766507352,0.41905427677136087,0.47391782865097737,0.8929721054223383
2,4.191582795,0.003947629715777871,0.09124881347,0.4219998297697016,0.46722878914296784,0.8892286189126695
3,4.261784017,0.00433800994583338,0.09487521699,0.424974839753232,0.4605601760616652,0.8855350158148972
4,4.331985238,0.004559658111888041,0.0985016205,0.42796308181890147,0.45344098073867706,0.8814040625575785
5,4.402183653,0.0048319970095565875,0.1020853604,0.4312110279586111,0.44843136341956225,0.8796423913781733
6,4.472390488,0.005134814912340013,0.1057970911,0.43273553458091174,0.44304322985930406,0.8757787644402157
7,4.542586096,0.0053437130149979,0.1093381675,0.43374367987639423,0.43526131572953786,0.869004995605932
8,4.612792932,0.00589998515086494,0.1130498981,0.43862886679886776,0.42716932265444973,0.8657981894533175
9,4.682994153,0.006456212795676043,0.1166763017,0.4427211915937799,0.420460424945492,0.8631816165392718
10,4.753189761,0.007003979865659214,0.120217378,0.4457222386730179,0.4133940320462925,0.8591162707193104
11,4.823396597,0.007526026768641691,0.1239291087,0.448710719734541,0.4072250214321373,0.8559357411666784
12,4.893595011,0.008082232174198765,0.1275128486,0.45163968850336345,0.3998098835451603,0.8514495720485238
13,4.963796233,0.008682393528057277,0.1311392522,0.45460199631520776,0.3937499676837231,0.8483519639989309
14,5.037358708,0.009554930321079904,0.1342963564,0.45760906354047887,0.3860661979782263,0.8436752615187051
15,5.104234112,0.010550772347373814,0.1389306868,0.46147642731795613,0.37473574719402747,0.8362121745119836
16,5.174523893,0.011645700813830127,0.1439031887,0.466004930099679,0.36585885859676537,0.8318637886964444
17,5.244838646,0.01257090569305981,0.1492552709,0.4707343200775027,0.35490294280152324,0.825637262879026
18,5.315128427,0.013127835023592431,0.1542277728,0.47508128311613934,0.3467219992852168,0.8218032824013561
19,5.38544318,0.013675235278000073,0.159579855,0.4794969525238283,0.33480559203145105,0.8143025445552794
20,5.455732961,0.014209155150851584,0.1645523569,0.48401588467544027,0.32219643130947556,0.8062123159849158
21,5.526047714,0.015121672802440877,0.1699044392,0.4885460380311725,0.31336583262185563,0.8019118706530282
22,5.596337495,0.017148914288383152,0.1748769411,0.49327460373403254,0.3008439063201977,0.7941185100542303
23,5.666652248,0.019192538219948076,0.1802290233,0.497621187698392,0.2916204280771678,0.7892416157755597
24,5.738133093,0.020292390333075293,0.1848912881,0.5021129833219844,0.28046497176211826,0.7825779550841027
25,5.807215732,0.021397178212645487,0.1899296527,0.506554308277817,0.2724995267387697,0.7790538350165868
26,5.877515192,0.022768957866887585,0.1950492812,0.5110835125200583,0.2607912973553034,0.7718748098753617
27,5.947820266,0.024510697135913525,0.2002542368,0.5158137884963009,0.24905166114821128,0.7648654496445122
28,6.018139374,0.02553391703134237,0.2056725103,0.5197958795574851,0.23751080582968287,0.7573066853871679
29,6.088891509,0.026934057654190303,0.2130691981,0.5204092454715792,0.2312824253723245,0.7516916708439036
30,6.130993987,0.028215202888058927,0.219571164,0.5197314378006797,0.22652268555648075,0.7462541233571605
31,6.185810476,0.029456115074556415,0.2222919221,0.5183965742640156,0.22155335753109315,0.7399499317951088
32,6.257814613,0.03169140309570913,0.2277935718,0.5166871557346449,0.21394559014813955,0.7306327458827844
33,6.325359186,0.03398371928820511,0.2349823834,0.5151110189031464,0.20591776751720445,0.7210287864203508
34,6.395772322,0.036187042657904206,0.2418298865,0.5133953534319682,0.1999212970670045,0.7133166504989727
35,6.466182651,0.03835734637804038,0.2486347261,0.5117231700472659,0.19219433042806736,0.7039175004753332
36,6.536583156,0.04048642941551074,0.2552902431,0.5100787165025435,0.18460308530224542,0.694681801804789
37,6.607000503,0.04258640299236979,0.2622017416,0.5083752623809588,0.17837463600150044,0.6867498983824591
38,6.677401008,0.04471420349783811,0.2688572586,0.506760555354871,0.1702643848872398,0.6770249402421108
39,6.747808531,0.04685664895009735,0.2756194346,0.5050099689002736,0.1633066576423083,0.668316626542582
40,6.818224473,0.04897064632549689,0.2825096013,0.503346014362772,0.15661481647285125,0.6599608308356233
41,6.888620769,0.051098876223757396,0.289101123,0.5017273401600244,0.14829443122696037,0.6500217713869848
42,6.959036711,0.05324157785272533,0.2959912897,0.4999638997317817,0.14186533282649347,0.6418292325582752
43,7.029440024,0.05571213431873093,0.3026894703,0.4976884359738598,0.13534023663975678,0.6330286726136166
44,7.099829302,0.059268844728314764,0.309174333,0.4931947633655165,0.1295746712711984,0.6227694346367149
45,7.17021858,0.0625007481866061,0.3156591958,0.48903792583585853,0.12436694493547687,0.6134048707713354
46,7.240607858,0.0661269402299482,0.3221440585,0.4840955275704889,0.11835369528664512,0.602449222857134
47,7.310997136,0.06986689215790863,0.3286289213,0.4792505797569527,0.11312342421471214,0.5923740039716648
48,7.381390625,0.07323910846366712,0.3351777794,0.4747403512860791,0.10734778522411989,0.582088136510199
49,7.451777096,0.07726444015503021,0.3416199786,0.47064126429879005,0.10198645241538959,0.5726277167141797
50,7.522170584,0.08078405495590486,0.3481688367,0.46584536689370826,0.0960418468985307,0.5618872137922389
51,7.592559863,0.08261697702075443,0.3546536995,0.46079936244387965,0.0905739253615335,0.5513732878054132
52,7.662949141,0.0892493114467429,0.3611385622,0.45622834153023883,0.0849810079653027,0.5412093494955416
53,7.733342629,0.09306508376022489,0.3676874204,0.45191750605226894,0.07948175367837204,0.531399259730641
