,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.568,1678.0,1365.0,1433.0,1111.0,943.0,490.0,695.0,305.0,622.0,237.0,410.0,122.0,300.0,96.0,292.0,48.0,200.0,34.0,113.0,13.0,116.0,15.0,83.0,7.0,43.0,6.0,54.0,3.0,7.0,0.0
1,42.6,0.697,1125.0,654.0,980.0,512.0,570.0,209.0,422.0,122.0,397.0,93.0,256.0,53.0,196.0,30.0,152.0,26.0,100.0,8.0,69.0,4.0,47.0,7.0,37.0,1.0,35.0,1.0,25.0,0.0,3.0,1.0
2,43.0,0.774,414.0,242.0,382.0,216.0,218.0,71.0,142.0,44.0,125.0,42.0,75.0,17.0,58.0,13.0,43.0,10.0,21.0,2.0,17.0,1.0,15.0,0.0,11.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0
3,43.4,0.844,135.0,85.0,121.0,59.0,54.0,18.0,40.0,11.0,42.0,4.0,21.0,3.0,19.0,1.0,15.0,1.0,6.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,43.8,0.845,36.0,15.0,26.0,7.0,10.0,0.0,12.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,44.199999999999996,0.922,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.928,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
