,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.025,1678.0,1706.0,1433.0,1488.0,943.0,957.0,695.0,669.0,622.0,568.0,410.0,306.0,300.0,208.0,292.0,170.0,200.0,99.0,113.0,48.0,116.0,30.0,83.0,29.0,43.0,13.0,54.0,9.0,7.0,1.0
1,42.6,0.055,1125.0,1111.0,980.0,931.0,570.0,485.0,422.0,268.0,397.0,235.0,256.0,110.0,196.0,81.0,152.0,53.0,100.0,29.0,69.0,14.0,47.0,15.0,37.0,4.0,35.0,5.0,25.0,2.0,3.0,0.0
2,43.0,0.21,414.0,405.0,382.0,370.0,218.0,188.0,142.0,97.0,125.0,81.0,75.0,40.0,58.0,32.0,43.0,20.0,21.0,8.0,17.0,5.0,15.0,2.0,11.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0
3,43.4,0.434,135.0,132.0,121.0,114.0,54.0,42.0,40.0,29.0,42.0,21.0,21.0,8.0,19.0,7.0,15.0,5.0,6.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,43.8,0.436,36.0,36.0,26.0,22.0,10.0,6.0,12.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,44.199999999999996,0.691,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.731,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
