,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.514,1724.0,1494.0,1425.0,1066.0,1044.0,658.0,793.0,364.0,544.0,178.0,471.0,135.0,382.0,116.0,277.0,68.0,152.0,25.0,128.0,18.0,140.0,17.0,81.0,10.0,37.0,1.0,44.0,5.0,8.0,1.0
1,42.6,0.745,1190.0,688.0,912.0,438.0,716.0,299.0,496.0,153.0,318.0,66.0,266.0,54.0,247.0,31.0,149.0,24.0,73.0,7.0,74.0,5.0,76.0,9.0,42.0,5.0,22.0,1.0,29.0,0.0,2.0,0.0
2,43.0,0.777,474.0,279.0,333.0,162.0,254.0,97.0,186.0,44.0,108.0,27.0,81.0,17.0,67.0,11.0,48.0,8.0,24.0,2.0,24.0,1.0,18.0,1.0,14.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
3,43.4,0.824,153.0,96.0,109.0,59.0,64.0,29.0,39.0,16.0,24.0,6.0,24.0,5.0,14.0,1.0,12.0,0.0,7.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,43.8,0.89,38.0,21.0,21.0,9.0,22.0,8.0,17.0,3.0,5.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.913,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
