index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
56936,193815693,8.080692876827635,10.759375598427951,7.387978,3.2746992400110004e+42,2.6623571057000004e+43,26.281077,0.10018681
58144,193812964,7.723535180614258,11.473690990854704,7.411298,4.5168347777769996e+42,1.5738100271e+43,26.339431,0.14288097
58199,193813696,8.437850573041011,11.027243870587984,7.403142,3.033612601825001e+42,1.4109826055000006e+43,26.050959,0.10379763
58271,191245295,12.18800638328146,7.902114028720946,7.38917,2.214426984124e+42,5.3748227770000006e+42,27.131622,0.052567366
58442,193805785,8.437850573041011,9.33074481357445,7.388218,8.271922783347998e+42,2.8822030603999994e+43,26.37483,0.18250695
58527,193814936,7.277088060347537,10.580796750321264,7.389276,2.0165117215319994e+42,1.3094231957999997e+43,26.427446,0.036683107
58585,193816060,8.169982300880978,10.22363905410789,7.394269,5.1877139874300005e+42,7.389905965000001e+42,26.624327,0.048994916
58619,193818104,8.169982300880978,9.77719193384117,7.39393,4.3840944780280014e+42,1.0388849474000003e+43,26.862016,0.078961335
58643,193816549,7.187798636294192,10.93795444653464,7.394131,2.2468430075700003e+42,3.0569292620000005e+42,28.697323,0.019084812
60358,193830713,5.402010155227313,11.027243870587984,7.407332,3.699526035366e+42,5.0333687556e+42,27.230867,0.025926394
60446,191253865,12.00942753517477,5.937746699547376,7.41233,3.1152823573920007e+42,2.6400697944000005e+42,28.098917,0.016779213
60476,191238875,9.062876541414417,7.812824604667602,7.388377,3.833941622200001e+42,8.895456200000002e+42,26.758847,0.032018712
60520,191222792,8.080692876827635,7.723535180614258,7.390334,5.089222248705001e+42,6.924111903000002e+42,26.748553,0.050678406
60533,191222932,8.080692876827635,7.634245756560913,7.388574,1.097974931508e+43,1.564066854e+43,26.658722,0.083056585
60545,191223093,8.080692876827635,7.277088060347537,7.388432,4.714990977774001e+42,2.534941385900001e+43,26.226668,0.20416531
60548,191223131,8.080692876827635,7.277088060347537,7.393377,2.1680590430250002e+42,3.5541951525000004e+43,26.318542,0.33465321
60579,191223466,7.812824604667602,7.812824604667602,7.392311,9.627900008156999e+42,2.9443119290999996e+43,26.001936,0.29203141
60590,191223554,7.634245756560913,7.812824604667602,7.394627,5.497261075152e+42,4.6586958264e+42,27.26012,0.020097229
60657,193822486,3.973379370373808,9.866481357894514,7.395215,2.3634490183598008e+42,5.600590090900002e+42,26.866949,0.039111034
60662,193822643,3.794800522267122,9.77719193384117,7.391997,4.8742909972000006e+42,1.1550452600000002e+43,26.31499,0.069628778
