index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
1467,108652150,9.625960579167876,8.112709134407858,8.144585,2.6642007545279993e+42,2.2577972495999995e+42,28.064411,0.0085568306
2248,108754242,8.701195807370087,6.851666263774513,8.159747,5.3954137842219996e+42,4.5723845629e+42,27.581815,0.013864514
8914,114285414,-10.046308202712323,6.599457689647843,8.152819,3.34962151296e+42,7.789817472e+42,26.859054,0.036502752
8978,108879777,1.891564305950019,-0.29424333648111467,8.156324,3.881792480463001e+42,9.006479073000002e+42,26.807583,0.060067256
9225,105463648,10.13037772742121,-6.683527214356733,8.150825,4.1497257385610005e+42,2.4554590169e+43,26.559983,0.16816338
11022,114286058,-9.037473906205646,5.422484343723389,8.161684,5.702693740917999e+42,1.5288723165999997e+43,26.298334,0.12796198
11155,110767952,0.7145909600255621,-0.5464519106077823,8.156758,3.907283013620001e+42,9.483696635000004e+42,27.050258,0.064603285
11211,114288281,-9.962238678003434,4.91806719547005,8.156285,9.894419653454e+42,1.4175386323e+43,26.275294,0.10249446
11239,114292220,-10.214447252130103,4.413650047216712,8.137901,2.1137522428259997e+42,2.8758533915999997e+42,27.61368,0.028722666
11272,107184501,5.506553868432278,-4.6658586213433795,8.152606,9.714502382150002e+42,2.3020147825000007e+43,26.105193,0.071780333
11454,107190866,7.524222461445632,-6.767596739065623,8.155332,4.127690596154999e+42,5.615905572999999e+42,27.19502,0.022582927
13758,114423328,-8.112709134407858,0.882730009443342,8.158771,2.0655192470510005e+42,1.2222007379000003e+43,26.656801,0.10423476
13875,108965950,3.488885275418925,-4.91806719547005,8.160527,2.97566107204e+42,6.920142028e+42,26.979194,0.025387234
13891,110764462,-0.042034762354444956,-3.6570243248367027,8.15647,3.64596128337e+42,4.960491542e+42,26.982374,0.057151383
19102,107321340,3.9092328989633724,-10.382586301547882,8.161861,4.475325453472999e+42,1.5593468478999997e+43,26.521212,0.078730246
19236,109094647,0.21017381177222477,-10.46665582625677,8.15729,3.0925678988939994e+42,2.6208202532999998e+42,27.868376,0.0098664333
21344,110990297,-4.161441473090041,-11.391420598054557,8.144478,2.812415275847599e+42,4.029248246199999e+42,27.559285,0.011096018
