index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
8310,627028248,14.02111105264667,13.604126337326322,5.654186,4.7930462740599994e+42,2.2293238483999997e+43,25.839758,0.12218514
8337,627005290,14.542341946797105,14.02111105264667,5.638664,2.5840505455064997e+42,3.5157150279e+42,27.220834,0.039143511
14844,626665569,12.770156906685626,14.02111105264667,5.660874,1.172873637328e+43,9.939607096e+42,26.279124,0.13656589
14941,632436234,8.079078859331723,14.542341946797105,5.655382,3.203904904286001e+42,2.715173647700001e+42,27.240036,0.057337721
15010,627030641,14.333849589136932,10.164002435933456,5.64615,2.162885134025e+42,2.8089417325e+43,27.426949,0.47372752
15048,627039018,13.187141622005974,11.623448939554676,5.644934,4.77018912913e+43,1.1093463091e+44,26.936209,2.8302094
15082,632441150,11.4149565818945,12.14467983370511,5.655277,8.079635943821002e+42,4.780849670900001e+43,25.41882,0.46278828
15085,632441195,11.206464224234328,12.14467983370511,5.656564,8.038427821122001e+42,4.3217353877000004e+43,25.619523,0.70410536
15101,632441379,11.519202760724587,12.14467983370511,5.654057,2.3845623420629997e+42,6.392928530999999e+42,26.450539,0.068511467
15110,632441425,11.623448939554676,12.14467983370511,5.654812,2.1752278959724004e+42,3.116372343800001e+42,27.255264,0.030481384
15136,632441846,11.727695118384762,12.874403085515713,5.652712,3.133372000271e+42,7.270004641e+42,26.385046,0.081488179
15161,632442257,11.727695118384762,11.936187476044935,5.654408,3.28267335655e+42,7.634124085e+42,26.582736,0.10191174
15171,632432188,12.248926012535197,11.936187476044935,5.647538,2.2163516850059994e+42,5.941961621999999e+42,26.662281,0.048043206
15180,632440713,10.893725687744066,12.874403085515713,5.652702,2.0401532850204004e+42,4.951828361700001e+42,26.703864,0.072815091
15228,632464148,10.05975625710337,12.874403085515713,5.65919,2.5585825628790006e+42,3.481064711400001e+42,27.073545,0.040931439
15235,632440829,10.580987151253805,12.66591072785554,5.656114,2.2414194264000002e+42,3.04955024e+42,27.240699,0.026423691
15255,632461915,10.164002435933456,12.66591072785554,5.659109,2.4687720019200002e+42,3.3588734720000004e+42,27.285777,0.020370488
15304,632436116,7.974832680501636,14.333849589136932,5.65185,2.4037009267200008e+42,1.8778913490000006e+43,26.104119,0.27399093
23624,632464084,10.268248614763545,11.936187476044935,5.661475,2.1620183469199998e+42,1.0055899288e+43,26.82549,0.06021978
23647,632440969,10.78947950891398,11.4149565818945,5.660454,4.7310959022600006e+42,4.0094033070000005e+42,27.886954,0.042080393
23802,632463809,10.05975625710337,12.561664549025453,5.660114,3.216521971219999e+42,7.480283653999999e+42,26.857033,0.11829468
23894,632443821,8.18332503816181,11.4149565818945,5.662237,1.0314861911999999e+43,8.741408399999999e+42,26.603233,0.072099337
23933,632464547,8.287571216991896,12.874403085515713,5.660199,2.0374655021759e+42,4.7272981489e+42,26.909772,0.042317576
23970,632443522,8.18332503816181,12.14467983370511,5.655596,4.725201399385999e+42,2.7959771593999993e+43,28.226178,0.85797913
24023,637843585,4.743201136768947,14.229603410306844,5.638725,3.82793427296e+43,1.3337750080000001e+44,25.106872,1.3575381
24180,627037292,14.125357231476757,7.870586501671549,5.65807,1.3922538675039999e+43,1.9946330479999999e+43,26.734727,0.55340766
24181,627037310,14.229603410306844,7.870586501671549,5.658044,8.024604723655997e+42,1.1496568371999997e+43,26.150466,0.14828919
24231,627034125,11.831941297214849,9.642771541783027,5.654736,8.658412218856003e+42,2.1015563638000009e+43,25.30677,0.14489998
24248,627033601,11.831941297214849,8.391817395821983,5.654114,2.426831991816e+43,1.3710915208e+44,26.451931,2.0699755
24249,627033633,11.831941297214849,8.287571216991896,5.653528,2.5309719782404995e+42,5.872324775499999e+42,27.133339,0.065819707
24408,632446774,9.121540647632592,9.642771541783027,5.660549,4.8728252380499996e+42,1.697848515e+43,25.83822,0.08946812
24423,632456540,9.330033005292767,10.580987151253805,5.641402,2.7621603377760005e+42,9.624252048000003e+42,26.073977,0.091710675
24434,632443169,8.91304828997242,10.997971866574153,5.6617,2.5527582950179997e+42,3.657246841e+42,27.20053,0.030897321
24458,632444318,8.079078859331723,10.372494793593631,5.656472,5.409368794230001e+42,1.2818409465000003e+43,26.120976,0.068093108
24479,632445401,7.662094144011375,10.893725687744066,5.657174,1.5719503255473002e+43,4.8071875399e+43,25.376302,0.44534722
24489,632445510,7.55784796518129,10.685233330083893,5.65795,4.93878119896e+42,2.2971075344e+43,25.718487,0.2482471
24492,632445538,7.349355607521116,10.685233330083893,5.658492,2.2216295355128778e+42,3.182850337411e+42,27.264554,0.038578395
24496,632445563,7.766340322841462,10.685233330083893,5.657251,4.389133483580999e+42,1.1767113896999998e+43,27.249148,0.17072937
24497,632445567,7.662094144011375,10.685233330083893,5.657758,4.1765166483560004e+42,1.1197095572e+43,26.560985,0.17779747
24528,632444977,7.662094144011375,11.727695118384762,5.653278,4.423327736291999e+42,6.337145753999999e+42,27.028763,0.048704036
24531,632444995,7.55784796518129,11.727695118384762,5.651085,2.26733543782e+42,1.435022429e+43,25.705578,0.27710871
24542,632453709,6.61963235571051,12.457418370195365,5.651082,3.4151813484600005e+42,1.1899586580000002e+43,26.463518,0.20603223
24599,637858214,5.264432030919382,12.978649264345801,5.657286,3.4683157542840005e+42,1.8646858894000002e+43,26.255369,0.14057592
24751,627340362,11.831941297214849,6.5153861768804235,5.643809,3.532475925429999e+42,1.2180951466999998e+43,26.209831,0.16795673
24786,627032967,11.831941297214849,8.704555932312244,5.639493,3.064436369669599e+42,4.390309985199999e+42,27.132113,0.040639544
24816,627340438,11.519202760724587,6.61963235571051,5.642251,3.8617616773260005e+42,1.1809668738e+43,26.528396,0.26366263
24832,627322925,12.248926012535197,7.662094144011375,5.639073,2.2792253773065e+42,3.1009869079e+42,27.520886,0.026084868
35327,632445691,7.974832680501636,10.164002435933456,5.657762,9.640549004059999e+42,9.094857551e+43,27.236286,1.6898916
35780,627340011,11.727695118384762,6.5153861768804235,5.648526,4.297024903119001e+42,1.1520174003000002e+43,25.924555,0.22348255
35783,627340047,11.831941297214849,6.5153861768804235,5.647225,1.2644071661400001e+43,6.79788799e+43,25.484542,0.98301906
35796,627340283,12.14467983370511,6.3068938192202495,5.656079,2.0288299897670007e+42,7.069094041000003e+42,26.690449,0.088581318
35808,627345107,12.978649264345801,6.411139998050336,5.661845,3.467043333116e+42,2.9381723162e+42,27.152477,0.039545368
36022,638212279,3.0752622754875607,10.164002435933456,5.642276,2.004245990864e+43,1.2685101208e+44,25.439353,1.7725132
36028,638212332,3.0752622754875607,10.372494793593631,5.641679,3.9765085270960007e+42,1.3855430408000003e+43,25.713772,0.10952858
36031,638212357,3.0752622754875607,10.268248614763545,5.64466,2.6252168811890005e+42,9.147097147000002e+42,26.508573,0.10971396
36047,638212124,3.283754633147732,9.851263899443202,5.64899,3.8330691605679996e+42,2.4259931396e+43,25.200573,0.26143743
36057,638212564,2.449785202507039,9.851263899443202,5.648756,3.179892978295e+42,7.377941945e+42,26.200661,0.11799801
36363,627349346,10.476740972423718,5.889909103899901,5.652772,5.370889886111999e+42,4.551601598399999e+42,27.108517,0.069792781
36392,632799046,9.225786826462679,5.472924388579556,5.640078,2.87209748597e+42,6.679296479e+42,26.72811,0.098200151
49237,627343875,11.936187476044935,4.013477884958341,5.657279,2.871534760564e+42,6.662493644000001e+42,26.74134,0.019927243
49305,632793376,7.140863249860942,5.264432030919382,5.650909,2.3101988055809997e+42,1.3051970653e+43,26.136981,0.089288186
49307,632793432,7.55784796518129,5.368678209749469,5.648288,6.610370606509998e+42,9.470444994999998e+42,27.058916,0.086422823
49331,632793341,7.0366170710308555,5.577170567409643,5.649095,2.703855622223e+42,9.421099729e+42,26.020659,0.11313873
49332,632793342,7.0366170710308555,5.472924388579556,5.651344,3.200535915179999e+42,1.1036330741999997e+43,26.866283,0.17482786
49487,632823637,4.326216421448602,8.18332503816181,5.662198,5.295685062332001e+43,1.4197547084000002e+44,25.129395,1.7291701
49600,643551073,-2.5540313813371256,11.623448939554676,5.65881,2.1484779521520007e+42,7.485985896000002e+42,26.545325,0.075761546
49626,643543032,-2.866769917827384,9.747017720613114,5.651307,2.871261632624e+42,1.8644556055999999e+43,25.702753,0.17348825
50064,632818355,6.61963235571051,3.70073934846808,5.640322,5.381786793708e+42,7.666362954e+42,26.399003,0.08119466
50114,632793310,7.24510942869103,5.160185852089295,5.649137,2.2787358376125004e+42,3.1003208675000006e+42,27.221732,0.048892708
50128,632793647,7.55784796518129,4.951693494429121,5.640092,4.801461735066001e+42,4.069035368700001e+42,26.975768,0.042554761
50174,632819069,6.0984014615600755,3.596493169637993,5.646175,4.2640706470998004e+42,6.108983735100001e+42,26.557023,0.13657176
50201,632793263,7.0366170710308555,5.160185852089295,5.648635,2.809489293606001e+42,8.591710378000003e+42,26.369384,0.11002517
50214,632825018,5.889909103899901,5.368678209749469,5.652032,2.6415543168000005e+42,2.3585306400000003e+43,25.778041,0.1838598
50254,632783853,5.785662925069814,4.430462600278688,5.649946,2.1889028696339997e+42,1.2952087985999998e+43,25.990106,0.10187165
50269,632783760,6.5153861768804235,4.430462600278688,5.64694,3.5366152795820004e+42,2.2965034283000004e+43,26.012717,0.27490922
50309,632826854,4.013477884958341,6.5153861768804235,5.643335,3.887568329183002e+42,5.569582133500003e+42,26.775142,0.042776531
50326,632807925,4.743201136768947,4.534708779108773,5.64999,2.4599305229399994e+42,5.720768657999999e+42,26.633412,0.058066807
50382,632826904,3.70073934846808,6.3068938192202495,5.648533,2.4909724853790005e+42,3.3890782114000005e+42,27.291976,0.040461348
50713,643539308,-3.492246990807906,9.642771541783027,5.641435,3.181814519987999e+42,1.8827304851999995e+43,25.929142,0.28076646
51146,622010067,14.542341946797105,-0.5733539835654758,5.64215,4.0031056408600006e+42,1.8619096004000004e+43,26.292319,0.21666837
51151,622010080,14.438095767967019,-0.15636926824513048,5.642051,3.024929946285e+43,4.3090170175e+43,25.247436,0.54183718
51191,627344925,11.310710403064414,1.4073234142061717,5.643513,2.6514212318699994e+42,8.108321809999998e+42,26.527086,0.21721392
51241,622341099,9.017294468802506,1.7200619506964325,5.642731,2.160658148474e+42,5.0247863918e+42,26.786146,0.074808949
51313,632819614,7.140863249860942,3.492246990807906,5.638854,1.007473141522e+43,8.537907979e+42,27.098591,0.2380983
64855,643547243,-4.0134778849583395,10.476740972423718,5.660117,7.007394445656e+42,5.938469869200001e+42,26.643099,0.067724196
64859,643547380,-4.0134778849583395,10.580987151253805,5.660577,4.9356466393499985e+42,1.7197375049999996e+43,25.517116,0.26736298
65149,643547306,-4.326216421448601,10.476740972423718,5.662491,1.7538073362460004e+43,4.0786217122000007e+43,24.948231,0.46778217
65155,643547344,-4.2219702426185135,10.476740972423718,5.661829,2.0675561209560004e+42,1.1681108028000002e+43,26.132221,0.11125013
65156,643547359,-4.326216421448601,10.476740972423718,5.661749,3.4149561464679994e+42,2.8940306326e+42,27.210353,0.043818471
65827,632819300,6.411139998050336,3.596493169637993,5.652411,2.6939996899410003e+42,3.6653057006000005e+42,27.076999,0.05708414
65839,632819411,6.61963235571051,3.388000811977819,5.652864,1.7193153366136e+43,4.0742069588e+43,25.904088,0.67752466
66227,638206542,0.3648616259053044,7.349355607521116,5.656592,1.7412712455219999e+43,1.4756535979e+43,26.988919,0.14821121
66344,638216998,-0.4691078047353888,7.0366170710308555,5.654631,4.5844755344499996e+42,1.597378235e+43,25.754341,0.15520683
66469,643543167,-5.785662925069814,8.391817395821983,5.659488,2.7936317968120005e+42,6.780659701000001e+42,26.500623,0.087737597
66479,643553210,-4.847447315599034,9.53852536295294,5.661029,2.5643983560720002e+42,3.4889773552000006e+42,27.067449,0.042715475
66491,643553296,-4.743201136768947,9.851263899443202,5.661529,2.411506021386401e+42,3.4548796868000014e+42,27.191017,0.027897141
66655,654219504,-13.91686487381658,12.770156906685626,5.647554,3.418536509618999e+43,1.1911277036999999e+44,25.932698,1.6424576
66662,654219569,-14.125357231476755,12.66591072785554,5.648709,3.110375227864e+42,7.370557412e+42,26.297958,0.11940022
66673,654219672,-14.438095767967015,12.874403085515713,5.648546,2.1209647813620004e+42,2.8856663692000005e+42,27.201619,0.027069612
66679,654219806,-13.29138780083606,12.248926012535197,5.654191,6.822824906018e+43,5.7820550051e+43,26.736152,0.63915368
66851,622336275,10.476740972423718,-0.7818463412256498,5.653104,2.4866618140488e+42,5.8925635404e+42,26.539635,0.070682969
66921,622336382,10.372494793593631,-0.26061544707521744,5.655017,3.1362362360840006e+42,7.431839422000001e+42,26.915534,0.09533825
66986,627658977,5.889909103899901,1.9285543083566066,5.660022,2.972955001036999e+42,6.897807426999999e+42,26.660517,0.092339777
67069,632811697,4.534708779108773,3.1795084543176477,5.660594,8.262119986229999e+42,1.4003593196999999e+44,25.114786,2.0447317
67086,632811888,4.743201136768947,3.0752622754875607,5.657843,1.0223718377578999e+43,3.5622712117e+43,25.774046,0.94010655
67154,632811247,4.117724063788428,3.388000811977819,5.661785,1.43881092102e+43,8.12887526e+43,24.981268,1.0080011
67155,632811259,4.117724063788428,3.388000811977819,5.661501,3.40314913631e+42,7.914300317000001e+42,26.378225,0.085376499
67250,632826325,1.9285543083566066,4.534708779108773,5.65909,2.9707070239929995e+42,6.892591703e+42,26.51329,0.046754325
67305,638236601,-1.8243081295265169,5.889909103899901,5.657802,4.824769974897999e+42,6.912277900999999e+42,26.515542,0.17006472
67424,643829261,-11.623448939554672,9.955510078273283,5.638132,2.54965358799824e+42,6.18847958252e+42,27.378398,0.063930638
67429,643830518,-10.580987151253805,9.747017720613114,5.640225,1.148140390272e+43,8.969846799000001e+43,25.712747,1.685373
67981,627647952,2.9710160966574737,2.345539023676952,5.649692,7.52829679838e+42,6.379912541000001e+42,26.979956,0.030097644
68118,633113087,-2.7625237389972996,4.951693494429121,5.639035,2.2156623851590002e+42,5.1527032213000005e+42,26.919775,0.071820753
69132,622329973,6.0984014615600755,-0.8860925200557367,5.638858,4.0965412237575e+42,5.5735254744999995e+42,27.017701,0.11168562
69137,622330012,5.785662925069814,-0.6776001623955628,5.639166,5.841989078124e+42,4.9508382018e+42,27.174883,0.01997789
69158,622330247,5.681416746239727,-0.6776001623955628,5.638995,2.2762995036320005e+42,1.4781165608000004e+43,27.539351,0.17527876
69182,622326457,5.368678209749469,-0.3648616259053044,5.639085,1.239357529026e+43,1.0503029907e+43,27.55436,0.17515342
80690,643831765,-10.476740972423718,10.268248614763545,5.657925,3.9000655594104004e+42,5.587486474800001e+42,26.847986,0.10224866
81140,627647152,3.596493169637993,2.241292844846865,5.660454,3.574891517066999e+42,2.1153204242999995e+43,25.513746,0.1394587
81337,638500491,-7.24510942869103,7.55784796518129,5.659194,4.6949210198239994e+42,4.1918937676999996e+43,25.35295,0.64128779
81465,638509333,-7.766340322841463,8.704555932312244,5.661362,2.6970730546780003e+42,3.8640015110000006e+42,27.068989,0.071792879
81467,638532599,-8.18332503816181,7.140863249860942,5.661206,4.4158911389984996e+42,6.0080151551e+42,26.772261,0.062800127
81558,649182441,-13.187141622005974,10.372494793593631,5.641623,2.4143111748000005e+42,1.0059629895000002e+44,24.820609,1.6252305
81891,627651614,6.828124713370684,-1.4073234142061717,5.651897,2.1253187976100002e+42,7.328685509000001e+42,26.45848,0.081061828
82011,627648131,3.0752622754875607,1.0945848777159106,5.657971,8.119943122008001e+42,5.1392045076e+43,25.284443,0.35995767
82114,627647381,2.9710160966574737,1.6158157718663455,5.649094,3.96327728566e+42,2.5735566789999997e+43,25.378842,0.14551798
82448,638518143,-6.619632355710509,6.411139998050336,5.647377,2.3055415672065005e+42,3.1367912479000006e+42,27.341575,0.066138586
82781,622355290,10.268248614763545,-4.430462600278687,5.646137,1.0149742464568003e+43,1.4541178316000005e+43,25.865874,0.23609372
82891,622327354,5.368678209749469,-0.7818463412256498,5.642236,2.853902547811999e+42,6.762802245999998e+42,26.528964,0.10299279
82920,627652176,4.534708779108773,-1.3030772353760847,5.654361,2.377595842462e+42,2.0149117309000003e+42,27.534429,0.022774426
82933,627652311,4.117724063788428,-1.72006195069643,5.65319,1.8496621000639e+43,4.2915593969e+43,25.661123,0.79062753
82936,627652331,4.221970242618515,-1.8243081295265169,5.653255,2.15499894883e+42,1.275147307e+43,26.518141,0.35615048
83155,638522542,-6.515386176880422,2.9710160966574737,5.642542,3.0814926587090004e+42,7.149634939000001e+42,27.243497,0.11687854
83458,622348214,5.994155282729988,-3.075262275487558,5.639968,1.6837419810080003e+43,3.915679025600001e+43,25.150604,0.43405925
83468,622348386,5.889909103899901,-3.283754633147732,5.640971,8.043439918900001e+42,1.8705674230000002e+43,26.463838,0.14542874
94010,638524024,-8.391817395821983,5.681416746239727,5.659094,2.4241186737819997e+42,1.4343897477999998e+43,26.041739,0.1649689
94012,638524055,-8.287571216991896,5.785662925069814,5.659121,2.3367969195440002e+42,5.4344114408e+42,26.621701,0.061274018
94228,643861267,-13.708372516156407,7.349355607521116,5.651526,3.175650770071002e+42,1.8790832959000008e+43,26.669311,0.20903974
94576,633127498,-3.075262275487558,1.8243081295265196,5.655942,2.9794777860566e+43,4.2685928167e+43,25.187642,0.50072388
94583,633127590,-3.596493169637993,2.137046666016778,5.658358,2.7236871832999998e+42,9.39202477e+42,26.595077,0.11095439
94642,633133146,-4.951693494429121,2.241292844846865,5.659947,2.17835675127e+42,7.59009321e+42,26.565963,0.10807981
94827,638528437,-10.059756257103372,4.013477884958341,5.650408,2.487958095616e+42,2.2213911568e+43,25.69416,0.35593182
94923,643858527,-13.812618694986494,6.202647640390162,5.660806,2.0154873533900003e+43,6.949956391000001e+43,26.081661,0.91090817
94924,643858539,-13.91686487381658,6.202647640390162,5.660354,6.672448631710001e+42,5.654617484500001e+42,26.510518,0.076368991
95092,622663258,8.91304828997242,-7.140863249860942,5.659953,2.7803425753799998e+42,1.2931825932e+43,26.05031,0.098411725
