,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.581,1671.0,1358.0,1300.0,908.0,980.0,533.0,673.0,252.0,504.0,230.0,456.0,144.0,308.0,74.0,266.0,54.0,186.0,30.0,164.0,27.0,94.0,10.0,79.0,9.0,32.0,2.0,43.0,4.0,11.0,0.0
1,42.6,0.717,1120.0,651.0,845.0,389.0,604.0,229.0,389.0,112.0,350.0,91.0,272.0,52.0,199.0,26.0,143.0,20.0,91.0,12.0,99.0,5.0,56.0,1.0,32.0,2.0,17.0,1.0,16.0,1.0,7.0,0.0
2,43.0,0.796,448.0,254.0,301.0,141.0,223.0,69.0,141.0,32.0,98.0,29.0,89.0,15.0,51.0,7.0,30.0,2.0,37.0,1.0,25.0,0.0,8.0,0.0,8.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
3,43.4,0.863,128.0,69.0,95.0,44.0,67.0,24.0,34.0,10.0,35.0,9.0,16.0,2.0,11.0,2.0,8.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,43.8,0.901,30.0,11.0,21.0,12.0,11.0,2.0,9.0,1.0,5.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.899,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
