,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.029,1612.0,1635.0,1104.0,1160.0,988.0,1020.0,825.0,810.0,579.0,505.0,571.0,473.0,413.0,285.0,268.0,133.0,182.0,68.0,122.0,35.0,95.0,22.0,60.0,19.0,35.0,6.0,41.0,5.0,14.0,4.0
1,42.6,0.128,1111.0,1093.0,730.0,662.0,593.0,522.0,524.0,388.0,342.0,201.0,322.0,173.0,206.0,100.0,142.0,52.0,92.0,26.0,54.0,14.0,28.0,8.0,30.0,5.0,12.0,5.0,14.0,2.0,6.0,1.0
2,43.0,0.188,443.0,438.0,276.0,252.0,223.0,187.0,184.0,140.0,111.0,70.0,102.0,52.0,71.0,38.0,43.0,8.0,23.0,2.0,15.0,3.0,10.0,2.0,9.0,2.0,8.0,0.0,4.0,0.0,1.0,1.0
3,43.4,0.378,137.0,134.0,84.0,71.0,67.0,60.0,46.0,32.0,28.0,16.0,29.0,18.0,26.0,10.0,6.0,2.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,43.8,0.52,29.0,29.0,17.0,17.0,13.0,12.0,7.0,4.0,3.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.58,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
