,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.619,1612.0,1384.0,1104.0,728.0,988.0,517.0,825.0,391.0,579.0,197.0,571.0,192.0,413.0,108.0,268.0,58.0,182.0,27.0,122.0,11.0,95.0,9.0,60.0,5.0,35.0,4.0,41.0,2.0,14.0,2.0
1,42.6,0.774,1111.0,645.0,730.0,313.0,593.0,234.0,524.0,165.0,342.0,86.0,322.0,66.0,206.0,40.0,142.0,19.0,92.0,7.0,54.0,7.0,28.0,3.0,30.0,3.0,12.0,2.0,14.0,0.0,6.0,1.0
2,43.0,0.802,443.0,257.0,276.0,113.0,223.0,87.0,184.0,51.0,111.0,23.0,102.0,28.0,71.0,15.0,43.0,4.0,23.0,2.0,15.0,0.0,10.0,2.0,9.0,0.0,8.0,0.0,4.0,0.0,1.0,1.0
3,43.4,0.843,137.0,69.0,84.0,38.0,67.0,26.0,46.0,12.0,28.0,5.0,29.0,4.0,26.0,4.0,6.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,43.8,0.862,29.0,12.0,17.0,6.0,13.0,3.0,7.0,1.0,3.0,0.0,5.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.89,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
