,index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar,0 Radius (pMpc),0 Edge,10 Radius (pMpc),10 Edge,20 Radius (pMpc),20 Edge,30 Radius (pMpc),30 Edge,40 Radius (pMpc),40 Edge,50 Radius (pMpc),50 Edge,60 Radius (pMpc),60 Edge,70 Radius (pMpc),70 Edge,80 Radius (pMpc),80 Edge,90 Radius (pMpc),90 Edge,100 Radius (pMpc),100 Edge,110 Radius (pMpc),110 Edge,120 Radius (pMpc),120 Edge,130 Radius (pMpc),130 Edge,140 Radius (pMpc),140 Edge,150 Radius (pMpc),150 Edge,160 Radius (pMpc),160 Edge,170 Radius (pMpc),170 Edge,180 Radius (pMpc),180 Edge,190 Radius (pMpc),190 Edge,200 Radius (pMpc),200 Edge,210 Radius (pMpc),210 Edge,220 Radius (pMpc),220 Edge,230 Radius (pMpc),230 Edge,240 Radius (pMpc),240 Edge,250 Radius (pMpc),250 Edge,260 Radius (pMpc),260 Edge,270 Radius (pMpc),270 Edge,280 Radius (pMpc),280 Edge,290 Radius (pMpc),290 Edge,300 Radius (pMpc),300 Edge,310 Radius (pMpc),310 Edge,320 Radius (pMpc),320 Edge,330 Radius (pMpc),330 Edge,340 Radius (pMpc),340 Edge,350 Radius (pMpc),350 Edge,360 Radius (pMpc),360 Edge,Transmission 0,Transmission 10,Transmission 20,Transmission 30,Transmission 40,Transmission 50,Transmission 60,Transmission 70,Transmission 80,Transmission 90,Transmission 100,Transmission 110,Transmission 120,Transmission 130,Transmission 140,Transmission 150,Transmission 160,Transmission 170,Transmission 180,Transmission 190,Transmission 200,Transmission 210,Transmission 220,Transmission 230,Transmission 240,Transmission 250,Transmission 260,Transmission 270,Transmission 280,Transmission 290,Transmission 300,Transmission 310,Transmission 320,Transmission 330,Transmission 340,Transmission 350,Transmission 360
0,53178,190936745,-11.355234469347687,10.303011970257558,7.631351,6.432992277075002e+42,8.752370445000003e+42,26.501478,0.059792063,0.26305562477253375,False,0.2772849751999397,False,0.2772849751999397,False,0.2772849751999397,False,0.24801122147455965,False,0.19607008628501787,False,0.19607008628501787,False,0.19607008628501787,False,0.27728497519993806,False,0.26305562477253197,False,0.2772849751999386,False,0.2772849751999386,False,0.31615351447219375,False,0.24801122147456092,False,0.24801122147456092,False,0.2772849751999397,False,0.2772849751999397,False,0.2772849751999397,False,0.26305562477253375,False,0.2772849751999403,False,0.2772849751999403,False,0.2772849751999403,False,0.24801122147456467,False,0.24801122147456467,False,0.3161535144721967,False,0.277284975199942,False,0.277284975199942,False,0.2630556247725355,False,0.5333682992501855,False,0.4721992976146087,False,0.3161535144721957,False,0.3720168322118464,False,0.3720168322118464,False,0.2772849751999403,False,0.2772849751999403,False,0.2772849751999403,False,0.26305562477253375,False,0.08056733706732913,0.0866722437424868,0.0866722437424868,0.0866722437424868,0.07421525239294605,0.05335945297172427,0.05335945297172427,0.05335945297172427,0.08667224374248607,0.08056733706732837,0.0866722437424863,0.0866722437424863,0.10371463787475595,0.07421525239294657,0.07421525239294657,0.0866722437424868,0.0866722437424868,0.0866722437424868,0.08056733706732913,0.08667224374248703,0.08667224374248703,0.08667224374248703,0.07421525239294816,0.07421525239294816,0.10371463787475724,0.0866722437424878,0.0866722437424878,0.08056733706732988,0.20049813716819456,0.17371754846037046,0.10371463787475678,0.12875239916490128,0.12875239916490128,0.08667224374248703,0.08667224374248703,0.08667224374248703,0.08056733706732913
1,53624,191088426,-11.705975302377732,7.8478261390472435,7.622009,9.7838347584e+42,6.192300479999999e+43,25.521822,0.19868655,7.1025018688584005,False,5.607741578023818,False,5.244279234327859,False,4.557100746427219,False,1.61683535155422,False,1.6168353515542202,False,1.6096864498385905,False,1.5807675723609746,False,1.600104897750557,False,1.5783337486352034,False,1.5136813841276529,False,1.4983654955222467,False,1.3384566145710537,False,1.3035343340791006,False,1.3035343340791006,False,1.2946565849218692,False,1.2213136267763658,False,1.1533188476129297,False,1.2275929156051557,False,1.3413257638754872,False,1.2213136267763658,False,1.1432752411461216,False,1.0558697283939185,False,1.0558697283939178,False,1.0225764624780784,False,1.0263290492631187,False,0.9803504314251,False,1.0522224990901305,False,0.9803504314251,False,1.0263290492631187,False,1.0225764624780775,False,4.109060216250201,False,4.670420734227452,False,4.992669788029521,False,6.1579742955787315,False,7.035064642523822,False,7.1025018688584005,False,0.8487195051497993,0.8137146207379832,0.8026197875298485,0.7775972502756046,0.5191005152814794,0.5191005152814795,0.5177675911253509,0.5123033316303638,0.5159700582997361,0.5118380995048222,0.4991649339809748,0.4960713115156691,0.4614999276885973,0.4533569349818258,0.4533569349818258,0.4512505580608182,0.43326273993794395,0.4156037168253479,0.4348447710766464,0.46215897617321006,0.43326273993794395,0.41291098990508296,0.3885106905529196,0.38851069055291937,0.3787413211231531,0.37985603798919204,0.36595478599546005,0.3874536150050226,0.36595478599546005,0.37985603798919204,0.37874132112315284,0.7575843030188171,0.7821491116357727,0.7941358676250011,0.8283307304743005,0.8474253052875833,0.8487195051497993
2,55122,188678146,-11.969030927150266,2.2359728105665337,7.633178,2.856871050253501e+42,3.886899388100001e+42,28.126342,0.014513429,0.5261112495450657,False,0.5333682992501839,False,0.5545699503998774,False,0.5882102588550615,False,0.6848433693750328,False,0.6848433693750348,False,0.7069407496852909,False,0.749182747761123,False,0.8084176757771103,False,0.7891668743176012,False,0.80841767577711,False,0.8318549255998192,False,0.8272206002618133,False,0.8084176757771093,False,0.6848433693750341,False,0.706940749685291,False,0.5545699503998791,False,0.5333682992501856,False,0.43842604128755447,False,0.44710858795849506,False,0.47219929761460755,False,0.5112882312390385,False,0.561459282258015,False,0.5614592822580168,False,0.5112882312390394,False,0.554569950399877,False,0.5333682992501835,False,0.5261112495450655,False,0.5333682992501835,False,0.5545699503998776,False,0.5882102588550613,False,0.5614592822580168,False,0.5614592822580164,False,0.51128823123904,False,0.5545699503998777,False,0.5333682992501836,False,0.5261112495450657,False,0.19736113083179074,0.2004981371681939,0.20959338129103522,0.22379841598939593,0.26290594300982534,0.2629059430098261,0.27147583609419607,0.2874627953121254,0.3090068619713755,0.3021166224494695,0.3090068619713754,0.3172520645565736,0.31563414118496247,0.30900686197137517,0.2629059430098259,0.2714758360941961,0.2095933812910359,0.2004981371681946,0.15865609169376818,0.1625425754117686,0.17371754846036996,0.19091780191153632,0.2125256443942581,0.21252564439425886,0.1909178019115367,0.20959338129103502,0.2004981371681937,0.1973611308317906,0.2004981371681937,0.20959338129103525,0.22379841598939582,0.21252564439425886,0.21252564439425872,0.1909178019115369,0.2095933812910353,0.20049813716819376,0.19736113083179074
3,56036,188525008,-8.37393738859231,8.11088176381978,7.626596,2.470184663123e+42,4.049483054299999e+43,26.451212,0.28662811,3.595093538557955,False,2.321589050362128,False,2.329853900461817,False,2.3166159870638547,False,2.1780553886436476,False,2.1780553886436462,False,2.045152924956156,False,2.1352743566267325,False,2.047031798044153,False,1.8413893734077345,False,1.9607008628502052,False,2.052658098526242,False,2.751974802020475,False,2.7393734775001337,False,3.1773034976257977,False,2.1973850207049335,False,2.2475482432833673,False,4.282235322466991,False,4.471945621133067,False,4.368448562643127,False,3.633385555907745,False,3.338953254148144,False,2.8628918363214266,False,3.1773034976258,False,3.338953254148146,False,3.438780897227512,False,3.4743707808819244,False,3.2443527055279127,False,3.2002097955011095,False,2.8842969331243395,False,2.9042209341986913,False,3.5477309562741635,False,3.0539135451595283,False,3.6110978922190142,False,3.910603002237302,False,4.00770325945219,False,3.595093538557955,False,0.7297259541480688,0.622895133922621,0.6238541008134824,0.6223158080081275,0.605446521130085,0.6054465211300849,0.5878305727481575,0.5999378807349214,0.5880902355648959,0.5576605012962244,0.5758227431525273,0.5888659048815454,0.6671954410332891,0.6660441916711942,0.7019380493146408,0.6078873549387834,0.614086592458734,0.7657295128038584,0.7740503333956381,0.7695851149782985,0.7320183103504656,0.7133340892428305,0.6770016494869079,0.7019380493146409,0.7133340892428306,0.7199511652589681,0.7222377446649494,0.7067717982769118,0.7036070255210776,0.6788289525482796,0.6805116151036573,0.7268362976542789,0.6926187483199787,0.730688764275189,0.747530420349358,0.7525508673640423,0.7297259541480688
4,56038,188525028,-8.37393738859231,8.11088176381978,7.633083,6.730720402454999e+42,2.3451987465e+43,25.911735,0.088495839,3.595093538557955,False,2.321589050362128,False,2.329853900461817,False,2.3166159870638547,False,2.1780553886436476,False,2.1780553886436462,False,2.045152924956156,False,2.1352743566267325,False,2.047031798044153,False,1.8413893734077345,False,1.9607008628502052,False,2.052658098526242,False,2.751974802020475,False,2.7393734775001337,False,3.1773034976257977,False,2.1973850207049335,False,2.2475482432833673,False,4.282235322466991,False,4.471945621133067,False,4.368448562643127,False,3.633385555907745,False,3.338953254148144,False,2.8628918363214266,False,3.1773034976258,False,3.338953254148146,False,3.438780897227512,False,3.4743707808819244,False,3.2443527055279127,False,3.2002097955011095,False,2.8842969331243395,False,2.9042209341986913,False,3.5477309562741635,False,3.0539135451595283,False,3.6110978922190142,False,3.910603002237302,False,4.00770325945219,False,3.595093538557955,False,0.7297259541480688,0.622895133922621,0.6238541008134824,0.6223158080081275,0.605446521130085,0.6054465211300849,0.5878305727481575,0.5999378807349214,0.5880902355648959,0.5576605012962244,0.5758227431525273,0.5888659048815454,0.6671954410332891,0.6660441916711942,0.7019380493146408,0.6078873549387834,0.614086592458734,0.7657295128038584,0.7740503333956381,0.7695851149782985,0.7320183103504656,0.7133340892428305,0.6770016494869079,0.7019380493146409,0.7133340892428306,0.7199511652589681,0.7222377446649494,0.7067717982769118,0.7036070255210776,0.6788289525482796,0.6805116151036573,0.7268362976542789,0.6926187483199787,0.730688764275189,0.747530420349358,0.7525508673640423,0.7297259541480688
5,56040,188525039,-8.286252180334799,8.11088176381978,7.628682,6.213746900759999e+42,8.454077415999999e+42,26.903299,0.044611994,3.5074083303004437,False,2.666841496250923,False,2.2475482432833673,False,2.1973850207049326,False,2.1780553886436476,False,2.0545301081250984,False,2.0014520939238016,False,2.052658098526242,False,2.047031798044153,False,1.9290745816652421,False,1.9607008628502047,False,2.0526580985262424,False,2.708323419164258,False,2.862891836321425,False,2.054530108125102,False,2.316615987063855,False,2.329853900461817,False,4.282235322466993,False,4.559630829390578,False,4.454719264266599,False,2.9967309910444904,False,3.458845267222252,False,2.9864505799877565,False,3.2336707031084364,False,3.4152234844071945,False,3.550980290757396,False,3.3881001683118086,False,3.2443527055279127,False,3.113751007574733,False,2.801813405252662,False,3.970116658447753,False,3.4242168468751677,False,2.862891836321425,False,3.534703748426454,False,3.828139769404046,False,3.921401725700415,False,3.5074083303004437,False,0.7243275144287921,0.6592625009059143,0.614086592458734,0.6078873549387833,0.605446521130085,0.5891233618225643,0.5817003198347352,0.5888659048815454,0.5880902355648959,0.5711501318490129,0.5758227431525272,0.5888659048815454,0.6631737840911704,0.6770016494869078,0.5891233618225649,0.6223158080081275,0.6238541008134824,0.7657295128038585,0.7777009419021821,0.7733190977468601,0.6881021771826354,0.7212448207372668,0.687276263357384,0.7060121045160987,0.7184170518246731,0.727036497132344,0.7166299984264026,0.7067717982769118,0.6972088642671099,0.6716731859168147,0.7506311792092513,0.7190046786054614,0.6770016494869078,0.7260307315699686,0.7431053657383694,0.7480987187918458,0.7243275144287921
6,56047,188525131,-8.461622596849821,8.11088176381978,7.624501,2.6636661914030005e+42,9.281066869000004e+42,26.598162,0.070582151,3.6827787468154662,False,2.4077534328416963,False,2.4426272535527316,False,2.360996488073042,False,2.178055388643648,False,2.1780553886436467,False,2.1208222490558737,False,2.135274356626732,False,1.9607008628502052,False,1.8413893734077345,False,1.9607008628502052,False,2.135274356626732,False,2.708323419164258,False,2.6159012242390096,False,3.177303497625799,False,2.120822249055872,False,2.16566488768911,False,4.180479091360427,False,4.384260412875555,False,4.282235322466991,False,3.550980290757395,False,3.21937289967718,False,2.862891836321425,False,3.0539135451595287,False,3.2632565957676234,False,3.3561792666056953,False,3.474370780881924,False,3.2443527055279127,False,3.2002097955011095,False,2.996730991044492,False,2.9475797180558665,False,3.5477309562741635,False,3.3007395949590017,False,3.654485533262144,False,4.0230218179595205,False,4.0940635960883105,False,3.6827787468154662,False,0.7349189594347144,0.6326639740001124,0.6364784851008457,0.6274251677746826,0.6054465211300851,0.605446521130085,0.5980430453682796,0.5999378807349214,0.5758227431525273,0.5576605012962244,0.5758227431525273,0.5999378807349214,0.6631737840911704,0.6543356590962334,0.7019380493146409,0.5980430453682793,0.603866312636125,0.76101062983009,0.7702786060626997,0.7657295128038584,0.7270364971323439,0.7049891514560581,0.6770016494869078,0.6926187483199788,0.7081067599507409,0.7144979011904812,0.7222377446649494,0.7067717982769118,0.7036070255210776,0.6881021771826357,0.6841140755970038,0.7268362976542789,0.7107185378136949,0.7332650791124702,0.7533248577605607,0.7568524134318667,0.7349189594347144
7,56051,188525214,-8.461622596849821,8.286252180334799,7.629956,6.79665993678e+42,2.368174194e+43,26.267553,0.14379336,3.1566674972703996,False,2.3215890503621286,False,2.3298539004618184,False,2.3166159870638565,False,2.178055388643648,False,2.0545301081251033,False,1.9250847644019797,False,1.9704799801869,False,1.7733235916182104,False,1.6660189568927155,False,1.7733235916182104,False,1.8580162514026168,False,2.556441156195196,False,2.548911121705271,False,1.8076768772500036,False,2.1208222490558746,False,2.0526580985262446,False,4.007703259452189,False,4.384260412875555,False,4.627420194433309,False,3.9106030022372997,False,3.1432425988307955,False,2.9864505799877517,False,3.177303497625798,False,3.415223484407193,False,3.5509802907573937,False,3.6471144268575046,False,3.4197231220429316,False,3.388100168311806,False,3.078987147789364,False,4.285824791095946,False,3.6712782031299245,False,3.1773034976257986,False,3.7745401335120548,False,4.187829389944032,False,4.007703259452189,False,3.1566674972703996,False,0.7004185175825601,0.6228951339226211,0.6238541008134826,0.6223158080081277,0.6054465211300851,0.589123361822565,0.5705535902505634,0.5772477039759543,0.5466135373939732,0.5280843023910345,0.5466135373939732,0.5602807987817309,0.6484050219614236,0.647639699395199,0.5522544090085088,0.5980430453682797,0.5888659048815458,0.7525508673640423,0.7702786060626997,0.780443836915489,0.7475304203493578,0.6994217357679725,0.6872762633573836,0.7019380493146408,0.718417051824673,0.7270364971323438,0.7328308386926505,0.7187113619814015,0.7166299984264024,0.6945587461890707,0.7658925950262697,0.7342491521269683,0.7019380493146408,0.7401457566934522,0.7613578111055392,0.7525508673640423,0.7004185175825601
8,56066,188525442,-8.636993013364842,8.286252180334799,7.617927,1.3846686829445001e+43,3.2126883595000004e+43,28.552068,0.21891051,3.3320379137854204,False,2.4940238289669443,False,2.4426272535527307,False,2.360996488073044,False,2.1780553886436462,False,2.054530108125102,False,2.1208222490558732,False,1.9704799801868997,False,1.686658657360866,False,1.7537041651502232,False,1.7733235916182104,False,1.6637098511996384,False,2.556441156195196,False,2.3691238666285623,False,2.862891836321425,False,1.925084764401979,False,1.9704799801869013,False,3.8351629645065946,False,4.208889996360535,False,4.454719264266599,False,3.7459137388056134,False,2.9042209341986904,False,2.986450579987753,False,2.862891836321423,False,3.26325659576762,False,3.4387808972275082,False,3.6471144268575046,False,3.507408330300442,False,3.4743707808819204,False,3.27384206576086,False,3.143242598830794,False,3.794855350923992,False,3.547730956274161,False,3.9263004180859595,False,4.300152703326619,False,4.180479091360427,False,3.3320379137854204,False,0.7128642366094395,0.6419609783764991,0.6364784851008456,0.6274251677746828,0.6054465211300849,0.5891233618225649,0.5980430453682795,0.5772477039759542,0.5317597467178588,0.5433304611384062,0.5466135373939732,0.5276696825256407,0.6484050219614236,0.6283462461285144,0.6770016494869078,0.5705535902505633,0.5772477039759544,0.7434882196489976,0.7623470566205757,0.7733190977468601,0.7385372349890559,0.6805116151036572,0.6872762633573837,0.6770016494869076,0.7081067599507407,0.7199511652589679,0.7328308386926505,0.7243275144287918,0.7222377446649492,0.7088490554201777,0.6994217357679724,0.7412754220829059,0.7268362976542787,0.7483556837222053,0.7665413221084801,0.76101062983009,0.7128642366094395
9,56080,188525662,-8.286252180334799,7.672455722532224,7.621832,3.5586706809512013e+42,5.098382064400001e+42,27.280676,0.024592199,3.7704639550729775,False,3.301904082416275,False,2.719655365808487,False,2.4363236888414286,False,2.5489111217052685,False,2.3691238666285606,False,2.436323688841428,False,2.4426272535527325,False,2.494023828966943,False,2.3675006229527975,False,2.407753432841694,False,2.6070686681581985,False,3.263256595767618,False,2.986450579987754,False,2.6159012242390105,False,2.5564411561951954,False,4.30015270332662,False,4.627420194433311,False,4.735001245905599,False,3.9214017257004143,False,3.1615351447219475,False,2.8277629987411648,False,2.862891836321425,False,2.986450579987754,False,3.0235507674548683,False,3.1615351447219493,False,2.941051294275312,False,2.8059266642403573,False,2.753371389170524,False,2.4426272535527325,False,2.436323688841431,False,3.5477309562741635,False,3.053913545159529,False,2.8277629987411648,False,3.550980290757395,False,3.8351629645065937,False,3.7704639550729775,False,0.7399179143933405,0.7107989384282841,0.6642269625962848,0.6357947487266712,0.6476396993951987,0.6283462461285142,0.6357947487266712,0.6364784851008458,0.641960978376499,0.6281626392277999,0.6326639740001121,0.653467132492691,0.7081067599507406,0.6872762633573838,0.6543356590962335,0.6484050219614236,0.7665413221084802,0.780443836915489,0.7846612660353257,0.7480987187918458,0.7007783237561737,0.6739580121565196,0.6770016494869078,0.6872762633573838,0.6902367280187092,0.7007783237561738,0.6835767898433565,0.6720374517155049,0.667322552173393,0.6364784851008458,0.6357947487266714,0.7268362976542789,0.6926187483199788,0.6739580121565196,0.7270364971323439,0.7434882196489976,0.7399179143933405
