index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
2874,105738045,-1.6241588460792935,10.702790344676364,8.276023,3.1947903776879995e+42,4.550983444e+42,27.112808,0.039228354
5925,105831086,3.9562843686546874,9.536727583388668,8.277791,2.7826734176534994e+42,3.7859502280999994e+42,27.542699,0.02636624
5931,105832613,4.28944515759403,9.703307977858337,8.278163,2.63021879614e+42,1.2233575796e+43,26.464945,0.040518832
6212,105926456,9.203566794449326,9.453437386153833,8.277684,5.02494626865e+43,6.83666159e+43,25.130374,0.40008388
6953,105522746,-5.9552491022907414,6.538280482934589,8.27782,3.9654407670219994e+42,3.3605430229e+42,27.692235,0.010571255
9774,107583979,7.454472652517778,7.371182455282943,8.265301,3.6942695968559995e+42,8.571391175999999e+42,27.562924,0.052126067
9930,107702884,9.536727583388668,6.871441271873931,8.275497,1.6271895860766e+43,2.3179338833000003e+43,25.66471,0.11569637
11603,107157000,-7.787633441457123,0.37480588755675986,8.280715,2.6625124158282e+42,3.7927527291e+42,27.332865,0.030336227
11723,107252036,-3.4565431852456756,2.0406098322534687,8.272821,3.3661701086023995e+42,4.8225932787999996e+42,27.35353,0.026922901
12037,107471182,4.539315749298535,2.7069314101321535,8.274111,2.1916112746137006e+42,5.084944952700001e+42,27.220902,0.024681764
12094,107472101,5.122347129942384,2.5403510156624822,8.264933,2.140486377906e+43,1.8139715067e+43,26.065264,0.057218243
14455,107708281,11.202531528085377,1.041127465435443,8.26755,7.750072823616001e+42,1.8810856368000005e+43,26.578726,0.081519548
15017,109032670,-2.873511804601827,-2.623641212897319,8.270789,2.6240276305530003e+42,3.5701056198000005e+42,28.038702,0.019228999
16222,108940211,-5.288927524412056,-4.955766735472715,8.282922,2.0762468559840005e+42,1.8537918357000003e+43,26.154466,0.14179127
16496,109175903,1.957319635018634,-3.2899627907760043,8.285305,2.1054800841165e+42,2.8645987539e+42,27.576137,0.035578825
16523,109176599,2.873511804601825,-2.207190226723142,8.273235,1.5650793096399999e+43,1.326338398e+43,26.438976,0.0379116
17698,108940617,-5.205637327177222,-5.122347129942386,8.286999,2.2262530810806002e+42,3.1713006853000004e+42,27.899881,0.0079585305
18876,108944280,-7.954213835926794,-7.1213118635784385,8.282831,2.5392846242209997e+42,6.807733577e+42,26.999211,0.023252529
20058,108853523,-9.786598175093175,-9.036986399979655,8.265323,7.256013442380004e+42,1.6874449866000008e+43,26.348516,0.054902089
22830,109051136,-1.041127465435445,-11.119241330850544,8.270772,3.8698469409240004e+42,8.978763204e+42,27.047066,0.07825196
23100,109297911,5.455507918881727,-9.453437386153833,8.2798,2.907894684574e+42,2.4643175293e+42,27.88942,0.019366111
23241,109410455,7.454472652517778,-9.286856991684163,8.265867,1.0008690203610002e+43,3.487348503000001e+43,26.501353,0.25934547
23295,109410558,7.454472652517778,-9.203566794449328,8.265467,3.9568953264399995e+42,9.604114869999999e+42,26.609328,0.063812898
