index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
2921,45521858,-7.1112382144511495,1.3751013121866846,9.041658,3.7119221544812005e+42,5.317940049400001e+42,27.443589,0.015903825
8906,46503135,-5.696848293344844,-7.425547085808106,9.054934,2.3754792979500003e+42,1.2703097850000001e+43,26.685249,0.086555555
8907,46503142,-5.618271075505605,-7.425547085808106,9.057424,4.295095810964999e+42,9.965419514999997e+42,26.867328,0.029431328
9000,46569922,-2.3180279262575585,-7.818433175004303,9.048881,5.141185091874e+42,7.323625487000001e+42,26.854159,0.044301922
10396,47703784,-5.461116639827126,-10.725790235056152,9.040967,2.5086439931489998e+42,6.725587113e+42,27.116598,0.029366117
10531,47850463,0.35359748027657645,-9.625709185306805,9.061583,2.0520826697826e+42,2.9231946863e+42,27.854405,0.020896063
