index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
9321,44582980,7.1893791730029,-1.3456057275673883,9.345304,2.8141401598366004e+42,4.0317194267000005e+42,27.331584,0.022612756
9326,44582972,7.112487417141907,-1.3456057275673883,9.348184,5.609112621607e+42,2.9995254661e+43,26.236374,0.12527528
11647,45307633,-9.034781313666748,-10.034374139859663,9.355434,2.936786066766e+42,6.813888786e+42,27.034443,0.025602014
12149,45747762,9.726807116415687,-6.881812149558928,9.360623,2.039272944731e+42,1.0905202913e+43,26.915695,0.023002758
