index,halo_id_nbody,gal coord y (pMpc),gal coord z (pMpc),Redshift,f_esc_lum,lya_lum,NIRCam_F200W_dust,mstar
8569,45386324,7.510096371733338,-3.250638728063683,9.747582,2.8422376811296e+43,4.0719737552e+43,25.58573,0.20090227
11504,45304549,9.154097567535661,-8.182642315470652,9.742449,2.5204502019270003e+42,3.4291839482000003e+42,27.658928,0.012460939
13410,37423723,2.0550014947529043,7.285914390487566,9.756881,3.511657192488e+42,2.9759806716e+42,27.91503,0.012377783
13763,36742571,-3.17591140098176,4.96936725094793,9.749855,2.5876686372e+42,6.01783404e+42,27.065509,0.020490729
13833,37430882,0.03736366354096213,2.5780927843263703,9.744822,2.4977482175609e+42,5.7952394839e+42,27.237056,0.029189479
