bin center,errors,LF 0,LF 10,LF 20,LF 30,LF 40,LF 50,LF 60,LF 70,LF 80,LF 90,LF 100,LF 110,LF 120,LF 130,LF 140,LF 150,LF 160,LF 170,LF 180,LF 190,LF 200,LF 210,LF 220,LF 230,LF 240,LF 250,LF 260,LF 270,LF 280,LF 290,LF 300,LF 310,LF 320,LF 330,LF 340,LF 350,LF 360
42.2,4.615088996744288e-06,2.3509579888850695e-06,3.2913411844390977e-06,3.2913411844390977e-06,3.2913411844390977e-06,3.2913411844390977e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.8211495866620834e-06,4.231724379993126e-06,3.7615327822161116e-06,3.7615327822161116e-06,2.3509579888850695e-06,2.8211495866620834e-06,1.8807663911080558e-06,2.8211495866620834e-06,1.8807663911080558e-06,2.8211495866620834e-06,1.8807663911080558e-06,2.8211495866620834e-06,2.3509579888850695e-06,2.8211495866620834e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,2.3509579888850695e-06,3.2913411844390977e-06,2.8211495866620834e-06,2.8211495866620834e-06,2.8211495866620834e-06,2.3509579888850695e-06,3.2913411844390977e-06,2.8211495866620834e-06,2.3509579888850695e-06
42.6,2.514694544019037e-06,2.3509579888850695e-06,1.8807663911080558e-06,9.403831955540279e-07,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,1.8807663911080558e-06,1.8807663911080558e-06,1.8807663911080558e-06,1.4105747933310417e-06,1.8807663911080558e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.8807663911080558e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.8807663911080558e-06,1.8807663911080558e-06,1.8807663911080558e-06,1.8807663911080558e-06,9.403831955540279e-07,1.4105747933310417e-06,1.4105747933310417e-06,1.4105747933310417e-06,1.8807663911080558e-06,1.4105747933310417e-06,1.8807663911080558e-06,2.3509579888850695e-06
43.0,1.509586558968883e-06,4.7019159777701395e-07,4.7019159777701395e-07,1.4105747933310417e-06,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,4.7019159777701395e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,9.403831955540279e-07,4.7019159777701395e-07
43.4,9.403831955540279e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
